match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,shotOffTarget,dispossessed,blockedScoringAttempt
14147328,home,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,F,9,False,27.0,18.0,1.0,1.0,0.0,3.0,5.0,15.0,22.0,0.0,0.0,6.0,6.0,17.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,80.0,44.0,6.9,18.0,0.14,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,12,13,2,11,66.66666666666666,100.0,,0.0,,1.0,,4.0,
14147328,home,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,True,14.0,11.0,1.0,0.0,0.0,5.0,5.0,6.0,9.0,0.0,0.0,0.0,1.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,32.0,19.0,6.6,5.0,0.01,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,78.57142857142857,0.0,,100.0,,,1.0,,
14147328,home,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,True,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,19.0,9.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,50.0,0.0,,100.0,,,,,
14147328,home,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,True,6.0,3.0,1.0,0.0,0.0,,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,19.0,11.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,50.0,0.0,,,,,,,
14147328,home,282802,FK Jedinstvo Bijelo Polje,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,True,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,10.0,4.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,0.0,,,,,,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,True,4.0,2.0,0.0,0.0,0.0,,,2.0,4.0,0.0,0.0,5.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,10.0,8.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,8,2,0,2,50.0,,,,,,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,808563,Momčilo Dulović,momcilo-dulovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147328,home,6220,FK Jedinstvo Bijelo Polje,1005748,Veljko Radenović,veljko-radenovic,M,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,F,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147328,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,36.0,29.0,14.0,7.0,0.0,21.0,22.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,90.0,43.0,7.5,6.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.55555555555556,50.0,,,,,,,
14147328,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,26.0,15.0,6.0,1.0,0.0,11.0,13.0,3.0,12.0,4.0,0.0,2.0,2.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,60.0,35.0,6.8,12.0,0.09,0.01,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,57.692307692307686,16.666666666666664,0.0,100.0,,1.0,1.0,,
14147328,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,80.0,72.0,6.0,3.0,0.0,45.0,47.0,24.0,29.0,1.0,0.0,4.0,7.0,11.0,9.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,20.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,100.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,11,9,2,7,90.0,50.0,0.0,100.0,,,,,1.0
14147328,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,70.0,59.0,9.0,4.0,0.0,36.0,38.0,20.0,28.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,85.0,7.0,12.0,0.0,0.09,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,84.28571428571429,44.44444444444444,,,,1.0,,,
14147328,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,47.0,38.0,6.0,4.0,0.0,13.0,15.0,22.0,29.0,7.0,4.0,1.0,3.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,90.0,59.0,7.5,13.0,0.05,0.1,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,80.85106382978722,66.66666666666666,57.14285714285714,100.0,,2.0,2.0,,
14147328,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,37.0,31.0,3.0,1.0,0.0,22.0,24.0,6.0,10.0,1.0,0.0,2.0,2.0,9.0,7.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,,,,,,,90.0,58.0,6.7,17.0,0.03,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,5,7,83.78378378378379,33.33333333333333,0.0,100.0,,,,,1.0
