match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed
14147377,away,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,30.0,17.0,15.0,6.0,0.0,9.0,9.0,6.0,15.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,40.0,7.7,14.0,0.55,0.0,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,56.666666666666664,40.0,,,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanović,bojan-damjanovic,D,91,False,17.0,7.0,5.0,2.0,0.0,3.0,6.0,4.0,7.0,0.0,0.0,1.0,4.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,27.0,6.4,12.0,0.45,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,41.17647058823529,40.0,,,,1.0,,,,,1.0
14147377,away,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,21.0,8.0,2.0,1.0,0.0,4.0,9.0,3.0,7.0,3.0,1.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,74.0,34.0,7.4,19.0,0.4,0.0,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,38.095238095238095,50.0,33.33333333333333,,,,,1.0,,,
14147377,away,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,False,18.0,11.0,0.0,0.0,0.0,6.0,7.0,5.0,11.0,1.0,0.0,3.0,1.0,11.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,63.0,30.0,6.5,12.0,0.07,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,2,8,61.111111111111114,,0.0,0.0,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,31.0,27.0,5.0,3.0,0.0,7.0,8.0,16.0,19.0,1.0,1.0,1.0,3.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,40.0,7.1,6.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,4,7,87.09677419354838,60.0,100.0,,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,19.0,9.0,5.0,3.0,0.0,1.0,2.0,8.0,16.0,3.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,29.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,47.368421052631575,60.0,0.0,100.0,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,27.0,14.0,9.0,6.0,0.0,,,13.0,26.0,3.0,1.0,4.0,1.0,16.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,74.0,39.0,6.7,17.0,0.0,0.45,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,5,16,4,12,51.85185185185185,66.66666666666666,33.33333333333333,0.0,,,1.0,,,,
14147377,away,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,False,37.0,26.0,5.0,3.0,0.0,9.0,10.0,17.0,27.0,5.0,3.0,1.0,1.0,4.0,8.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,85.0,48.0,7.4,14.0,0.0,0.08,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,70.27027027027027,60.0,60.0,85.71428571428571,,,1.0,,,,
14147377,away,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,F,89,False,25.0,11.0,2.0,1.0,0.0,2.0,3.0,9.0,22.0,1.0,1.0,9.0,8.0,17.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,74.0,38.0,6.8,22.0,0.06,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",28,17,11,3,8,44.0,50.0,100.0,100.0,,,,1.0,,1.0,
14147377,away,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,True,10.0,9.0,2.0,2.0,0.0,,,5.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,27.0,12.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,90.0,100.0,,,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,True,3.0,2.0,0.0,0.0,0.0,2.0,3.0,,,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16.0,5.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,66.66666666666666,,,,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,F,7,True,5.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,16.0,8.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,60.0,0.0,,,,,,1.0,,,
14147377,away,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,True,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,16.0,7.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,33.33333333333333,,0.0,100.0,,,,1.0,,,
14147377,away,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,M,10,True,1.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,5.0,7.1,2.0,0.8,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,0.0,,,,,,,1.0,,,
14147377,away,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147377,away,456482,FK Sutjeska Nikšić,1606671,Todor Miljanić,todor-miljanic,D,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147377,away,6224,FK Sutjeska Nikšić,1381358,Petar Aničić,petar-anicic,M,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
