match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,duelLost,totalContest,outfielderBlock,aerialLost,challengeLost,dispossessed,bigChanceMissed,blockedScoringAttempt,fouls,wonContest,shotOffTarget,totalOffside,keyPass,aerialWon,bigChanceCreated,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,goals
14015471,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,42.0,37.0,3.0,1.0,0.0,15.0,15.0,22.0,27.0,7.0,2.0,3.0,,,90.0,63.0,8.1,8.0,,"{'original': 8.1, 'alternative': 8.6}",4,0.12,-0.78,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,88.09523809523809,33.33333333333333,,100.0,,1.0,2.0,2.0,2.0,1.0,,1.0,0.55,3.0,2.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,4.0,1.0,1.0,,,,,,1.0
14015471,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,22.0,22.0,,,0.0,6.0,6.0,16.0,16.0,4.0,3.0,2.0,,,73.0,39.0,6.9,8.0,,"{'original': 6.9, 'alternative': 6.7}",3,0.24,0.3,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,100.0,,,66.66666666666666,,,1.0,,,,,3.0,0.01,4.0,3.0,,,,2.0,1.0,2.0,1.0,2.0,,,3.0,,,,,,,,
14015471,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,61.0,53.0,10.0,8.0,0.0,16.0,17.0,37.0,44.0,3.0,5.0,2.0,,,73.0,80.0,6.6,15.0,,"{'original': 6.6, 'alternative': 7.7}",6,0.29,0.31,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,3,7,86.88524590163934,80.0,33.33333333333333,33.33333333333333,,3.0,3.0,,,,,1.0,-0.62,8.0,3.0,,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,,3.0,,1.0,,,,,1.0,
14015471,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,26.0,22.0,2.0,1.0,0.0,4.0,4.0,18.0,22.0,4.0,4.0,,,,89.0,43.0,6.9,13.0,,"{'original': 6.9, 'alternative': 7.2}",0,-0.06,0.34,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,84.61538461538461,50.0,20.0,75.0,,5.0,,,,,,2.0,,4.0,4.0,,,1.0,2.0,,,,3.0,,,2.0,1.0,,,,,,1.0,
14015471,away,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,31.0,24.0,,,0.0,6.0,6.0,18.0,25.0,2.0,2.0,,,,89.0,45.0,7.0,13.0,,"{'original': 7, 'alternative': 7.7}",4,-0.5,0.07,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,77.41935483870968,,,100.0,,,2.0,,1.0,,,4.0,0.37,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0
14015471,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,1.0,,,,28.0,5.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.01,0.15,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,1.0,,,,,2.0,-0.22,1.0,,,,,,,,1.0,,,,,,,,,,,,
14015471,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,5.0,4.0,,,0.0,,,4.0,5.0,,,,,,17.0,9.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.6}",2,-0.02,0.19,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,80.0,,,,,1.0,1.0,,,,,,-0.3,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
14015471,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,16.0,11.0,1.0,1.0,1.0,2.0,4.0,9.0,12.0,1.0,2.0,,,,17.0,17.0,7.5,5.0,,"{'original': 7.5, 'alternative': 7.3}",0,0.65,-0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,68.75,100.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
14015471,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,,,,,0.0,,,,,,,,,,1.0,2.0,,1.0,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,
14015471,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,1.0,4.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,100.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015471,away,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,away,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,away,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
