match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,outfielderBlock,totalTackle,interceptionWon,wonTackle,accurateCross,wonContest,bigChanceCreated,keyPass,challengeLost,totalOffside,shotOffTarget,goals,bigChanceMissed,blockedScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox
14666216,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,41.0,28.0,15.0,3.0,0.0,28.0,30.0,,11.0,1.0,10.0,4.0,1.0,90.0,52.0,6.4,14.0,0.3862,"{'original': 6.4, 'alternative': 7.1}",0,0.06,0.02,-0.1,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,68.29268292682927,20.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
14666216,away,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,False,25.0,19.0,1.0,,0.0,10.0,15.0,9.0,10.0,4.0,5.0,,,90.0,56.0,7.5,11.0,,"{'original': 7.5, 'alternative': 7.4}",2,0.04,0.09,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,76.0,,,50.0,,,1.0,2.0,6.0,5.0,,2.0,1.0,1.0,,3.0,0.56,,2.0,2.0,,,1.0,,,1.0,,,1.0,,1.0,,
14666216,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,50.0,41.0,12.0,4.0,0.0,30.0,34.0,11.0,16.0,10.0,1.0,,,90.0,64.0,6.2,11.0,,"{'original': 6.2, 'alternative': 6.6}",0,0.1,0.19,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,0,4,82.0,33.33333333333333,,,,,2.0,2.0,6.0,2.0,1.0,,,1.0,,3.0,,,,1.0,,,,,1.0,,,,,,,,
14666216,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,59.0,52.0,9.0,4.0,0.0,38.0,39.0,14.0,20.0,11.0,3.0,,,90.0,74.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.2,0.07,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,88.13559322033898,44.44444444444444,,,,,2.0,1.0,3.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,
14666216,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,42.0,31.0,8.0,2.0,0.0,18.0,23.0,13.0,19.0,4.0,3.0,,,90.0,72.0,6.4,19.0,,"{'original': 6.4, 'alternative': 6.5}",0,0.02,0.1,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,73.80952380952381,25.0,,,,2.0,1.0,1.0,7.0,7.0,2.0,1.0,,1.0,3.0,3.0,,,3.0,1.0,1.0,,,,,,,,,,,,
14666216,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,False,32.0,21.0,6.0,1.0,0.0,14.0,20.0,7.0,12.0,3.0,5.0,,,90.0,59.0,6.9,18.0,,"{'original': 6.9, 'alternative': 7}",0,-0.01,0.07,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,6,2,65.625,16.666666666666664,33.33333333333333,,,3.0,2.0,1.0,4.0,7.0,1.0,,,4.0,3.0,1.0,,,3.0,1.0,2.0,1.0,,,2.0,,,,,,,,
14666216,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,24.0,21.0,1.0,,0.0,9.0,10.0,12.0,14.0,1.0,2.0,,,89.0,36.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.0,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,87.5,,,,,,2.0,1.0,3.0,4.0,1.0,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,
14666216,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,11.0,10.0,1.0,1.0,0.0,7.0,8.0,3.0,3.0,,3.0,,,89.0,26.0,6.2,9.0,,"{'original': 6.2, 'alternative': 6}",1,0.0,0.05,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,90.9090909090909,100.0,50.0,,,2.0,,,5.0,1.0,,4.0,,2.0,1.0,3.0,-0.04,,,1.0,,1.0,,,,,,,,,1.0,,
