player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'M', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,miss,regular,"{'x': 24, 'y': 33, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.8, 'z': 57}",0.02794,6830435,58,3469,"{'start': {'x': 33, 'y': 24}, 'end': {'x': 56.2, 'y': 0}, 'goal': {'x': 56.2, 'y': 43}}",33,1931,769,shot,,,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",False,goal,regular,"{'x': 13, 'y': 61, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.4, 'z': 10.7}",0.1817,6830434,47,2816,"{'start': {'x': 61, 'y': 13}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 89.3}}",44,2584,116,shot,,0.4515,regular
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'كريستيان تريفي'}, 'shortNameTranslation': {'ar': 'ك. تريفي'}}}",False,block,regular,"{'x': 28, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.005418,6830433,41,2433,"{'start': {'x': 56, 'y': 28}, 'block': {'x': 56, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",5,267,2433,shot,"{'x': 28, 'y': 56, 'z': 0}",,
"{'name': 'Nemanja Belaković', 'firstName': '', 'lastName': '', 'slug': 'nemanja-belakovic', 'shortName': 'N. Belaković', 'position': 'F', 'jerseyNumber': '8', 'userCount': 33, 'gender': 'M', 'id': 979046, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بيلاكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. بيلاكوفيتش'}}}",False,miss,regular,"{'x': 12, 'y': 28, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.2, 'z': 59.1}",0.02577,6830432,40,2357,"{'start': {'x': 28, 'y': 12}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 40.9}}",6,343,2357,shot,,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,save,regular,"{'x': 29, 'y': 44, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 5.6}",0.02399,6830431,36,2157,"{'start': {'x': 44, 'y': 29}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 94.4}}",10,543,2157,shot,,0.01548,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,regular,"{'x': 16, 'y': 25, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0184,6830430,32,1914,"{'start': {'x': 25, 'y': 16}, 'block': {'x': 25, 'y': 16}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",14,786,1914,shot,"{'x': 16, 'y': 25, 'z': 0}",,
"{'name': 'Milos Vracar', 'firstName': 'Miloš', 'lastName': 'Vračar', 'slug': 'milos-vracar', 'shortName': 'M. Vračar', 'position': 'D', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1149283, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش فراجار'}, 'shortNameTranslation': {'ar': 'م. فراجار'}}}",True,miss,regular,"{'x': 13, 'y': 64, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 45.8, 'z': 43}",0.02044,6830429,32,1864,"{'start': {'x': 64, 'y': 13}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 57}}",14,836,1864,shot,,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,save,corner,"{'x': 13, 'y': 34, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 3}",0.2055,6830428,20,1196,"{'start': {'x': 34, 'y': 13}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 97}}",26,1504,1196,shot,,0.07577,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,corner,"{'x': 19, 'y': 42, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01078,6830427,20,1194,"{'start': {'x': 42, 'y': 19}, 'block': {'x': 42, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",26,1506,1194,shot,"{'x': 19, 'y': 42, 'z': 0}",,
"{'name': 'Dejan Boljević', 'slug': 'dejan-boljevic', 'shortName': 'D. Boljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 3, 'gender': 'M', 'id': 57339, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بوليفيتش', 'bn': 'দেজান বলজেভিচ', 'hi': 'देजान बोलजेविक'}, 'shortNameTranslation': {'ar': 'د. بوليفيتش', 'bn': 'ডি. বলজেভিচ', 'hi': 'डी. बोलजेविक'}}}",False,miss,throw-in-set-piece,"{'x': 27, 'y': 26, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.5, 'z': 55.7}",0.0009901,6830426,19,1105,"{'start': {'x': 26, 'y': 27}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 44.3}}",27,1595,1105,shot,,,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,save,corner,"{'x': 20, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 6.8}",0.05476,6830425,14,792,"{'start': {'x': 58, 'y': 20}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 93.2}}",32,1908,792,shot,,0.03278,
"{'name': 'Nemanja Belaković', 'firstName': '', 'lastName': '', 'slug': 'nemanja-belakovic', 'shortName': 'N. Belaković', 'position': 'F', 'jerseyNumber': '8', 'userCount': 33, 'gender': 'M', 'id': 979046, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بيلاكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. بيلاكوفيتش'}}}",False,save,regular,"{'x': 7, 'y': 27, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.9, 'z': 4.9}",0.06413,6830424,10,586,"{'start': {'x': 27, 'y': 7}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 95.1}}",36,2114,586,shot,,0.06729,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,miss,corner,"{'x': 13, 'y': 53, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 46.5, 'z': 50.8}",0.01287,6830423,7,361,"{'start': {'x': 53, 'y': 13}, 'end': {'x': 53.5, 'y': 0}, 'goal': {'x': 53.5, 'y': 49.2}}",39,2339,361,shot,,,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,block,set-piece,"{'x': 13, 'y': 41, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1082,6830422,6,315,"{'start': {'x': 41, 'y': 13}, 'block': {'x': 41, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",40,2385,315,shot,"{'x': 13, 'y': 41, 'z': 0}",,
