match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,dispossessed,keyPass,shotOffTarget,interceptionWon,penaltyConceded,bigChanceCreated,blockedScoringAttempt,penaltyWon
15566223,home,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,False,19.0,14.0,2.0,2.0,0.0,3.0,4.0,15.0,1.0,0.0,1.0,1.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,80.0,27.0,6.7,12.0,0.0,0.02,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,2,8,73.68421052631578,100.0,0.0,100.0,,11.0,1.0,1.0,,1.0,,,,
15566223,home,327162,Mladost DG,1005585,Ljubomir Pejović,ljubomir-pejovic,D,37,True,32.0,27.0,6.0,3.0,0.0,19.0,19.0,12.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,48.0,41.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,84.375,50.0,,,,8.0,,,,,,,,
15566223,home,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,True,22.0,21.0,5.0,5.0,0.0,3.0,3.0,19.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,24.0,28.0,7.1,1.0,0.04,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,95.45454545454545,100.0,100.0,100.0,,18.0,,,1.0,,,,,
15566223,home,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,4.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,2.0,,,,,,,,
15566223,home,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,True,7.0,3.0,0.0,0.0,0.0,,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,7.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,42.857142857142854,,,,,3.0,,,,,,,,
15566223,home,282802,Mladost DG,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,True,4.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,11.0,6.3,3.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,75.0,0.0,,,,2.0,2.0,,,,,,,
15566223,home,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,home,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,home,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,home,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
