match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,onTargetScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,aerialLost,aerialWon,bigChanceCreated,shotOffTarget,goals,totalTackle,wonTackle,keyPass,lastManTackle,bigChanceMissed,hitWoodwork,accurateCross,blockedScoringAttempt,totalContest,dispossessed,penaltyWon,errorLeadToAShot,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,penaltyConceded,wonContest
14015578,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,34.0,12.0,25.0,3.0,0.0,9.0,14.0,3.0,20.0,1.0,11.0,5.0,6.0,90.0,47.0,6.7,22.0,86.556258048892,11.0,18.887441541846,0.0,0.9534,"{'original': 6.7, 'alternative': 6.7}",0,-0.03,-0.03,-0.44,0.48,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,35.294117647058826,12.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
14015578,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,35.0,24.0,9.0,3.0,0.0,20.0,23.0,4.0,12.0,2.0,6.0,,,89.0,53.0,5.5,15.0,113.62256622342,13.0,-4.9624303338553,0.0,,"{'original': 5.5, 'alternative': 5.8}",1,0.15,0.08,-0.82,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,68.57142857142857,33.33333333333333,100.0,,,1.0,1.0,1.0,,,,3.0,1.0,,,,-0.15,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,20.0,16.0,2.0,1.0,0.0,12.0,13.0,4.0,7.0,5.0,2.0,,,90.0,32.0,5.5,5.0,27.684693329163,5.0,-8.2871950712781,0.0,,"{'original': 5.5, 'alternative': 5.9}",0,0.07,0.0,-0.76,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,80.0,50.0,,,,,1.0,2.0,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,
14015578,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,18.0,11.0,7.0,3.0,0.0,6.0,10.0,5.0,8.0,6.0,,,,74.0,29.0,5.9,7.0,44.844375778338,5.0,-12.451539543586,0.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.07,0.0,-0.68,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,61.111111111111114,42.857142857142854,,,,,4.0,4.0,,,,,,2.0,,,,2.0,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,24.0,17.0,5.0,2.0,0.0,10.0,11.0,7.0,13.0,4.0,,,,90.0,46.0,5.3,17.0,97.811980834753,8.0,78.265408441364,2.0,,"{'original': 5.3, 'alternative': 5.9}",0,0.02,0.17,-0.87,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,70.83333333333334,40.0,20.0,,,5.0,4.0,2.0,,,,3.0,,3.0,27.749807239221,59.050869768043,,2.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,20.0,14.0,1.0,,0.0,9.0,10.0,5.0,10.0,1.0,3.0,,,74.0,30.0,6.0,8.0,48.021151891249,7.0,34.508122133819,1.0,,"{'original': 6, 'alternative': 6.2}",1,-0.04,0.11,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,70.0,,,,,,3.0,2.0,,,,,1.0,2.0,14.470218042949,16.322228891913,-0.14,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,16.0,13.0,3.0,1.0,0.0,11.0,12.0,2.0,4.0,2.0,1.0,,,90.0,25.0,5.9,5.0,127.70118903548,11.0,16.111841484474,0.0,,"{'original': 5.9, 'alternative': 6}",0,0.06,-0.1,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,81.25,33.33333333333333,,50.0,,1.0,7.0,3.0,,,,,2.0,4.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0
14015578,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,M,28,False,15.0,11.0,,,0.0,9.0,9.0,2.0,6.0,2.0,3.0,,,90.0,23.0,6.2,6.0,72.370628422736,9.0,-45.759788211062,0.0,,"{'original': 6.2, 'alternative': 6.2}",0,-0.06,-0.18,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,73.33333333333333,,,,,1.0,2.0,3.0,,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
