match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,blockedScoringAttempt,keyPass,dispossessed,shotOffTarget,hitWoodwork,clearanceOffLine,bigChanceCreated,savedShotsFromInsideTheBox
14147297,home,7581,FK Bokelj Kotor,1595583,Balša Radević,balsa-radevic,F,27,False,4.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,46.0,12.0,5.9,10.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,75.0,,,0.0,,,,,3.0,,,,,
14147297,home,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,D,16,True,11.0,6.0,3.0,1.0,0.0,4.0,8.0,2.0,3.0,1.0,0.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,44.0,17.0,6.1,8.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,54.54545454545454,33.33333333333333,0.0,,,,,,2.0,,,,,
14147297,home,228024,FK Bokelj Kotor,1218295,Ayumu Nishimura,ayumu-nishimura,F,99,True,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,,,,,,44.0,12.0,7.2,8.0,0.36,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,66.66666666666666,,,,,,,,1.0,,,,,
14147297,home,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,True,15.0,11.0,2.0,1.0,2.0,3.0,3.0,8.0,12.0,1.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,44.0,22.0,7.2,6.0,0.04,0.63,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,0,8,73.33333333333333,50.0,100.0,0.0,,,1.0,3.0,2.0,1.0,,,1.0,
14147297,home,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,True,14.0,10.0,5.0,2.0,0.0,8.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,31.0,16.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,71.42857142857143,40.0,,,,,,,,,,,,
14147297,home,120152,FK Bokelj Kotor,1048761,Sotirios Kokkinis,sotirios-kokkinis,M,28,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,19.0,7.0,6.8,2.0,0.0,0.18,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,100.0,,,,,,,1.0,1.0,,,,,
14147297,home,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147297,home,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147297,home,7581,FK Bokelj Kotor,227396,Šaleta Kordić,saleta-kordic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147297,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,35.0,32.0,9.0,6.0,0.0,29.0,31.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0,39.0,6.5,7.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,91.42857142857143,66.66666666666666,,,0.0,,,,,,,,,1.0
14147297,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,False,29.0,24.0,6.0,4.0,0.0,12.0,15.0,10.0,12.0,2.0,1.0,1.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,71.0,35.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,3,8,82.75862068965517,66.66666666666666,50.0,0.0,,4.0,,,1.0,,,,,
14147297,away,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,62.0,50.0,7.0,2.0,0.0,37.0,41.0,11.0,18.0,0.0,0.0,3.0,6.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,83.0,7.1,15.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,9,8,4,4,80.64516129032258,28.57142857142857,,,,6.0,,,,,,,,
14147297,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,29.0,26.0,3.0,2.0,0.0,17.0,18.0,8.0,10.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,46.0,38.0,6.9,6.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,89.65517241379311,66.66666666666666,,,,1.0,,,,1.0,,,,
