match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,fouls,keyPass,aerialLost,bigChanceCreated,onTargetScoringAttempt,wasFouled,shotValueNormalized,shotOffTarget,outfielderBlock,errorLeadToAShot,unsuccessfulTouch,penaltyConceded,totalOffside,dispossessed,bigChanceMissed,blockedScoringAttempt,goals,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,clearanceOffLine,ownGoals,errorLeadToAGoal,penaltyWon
14015455,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,13.0,7.0,,,0.0,1.0,2.0,6.0,11.0,,,,,,58.0,16.0,6.4,8.0,"{'original': 6.4, 'alternative': 6.6}",0,-0.16,0.03,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,53.84615384615385,,,,,,,1.0,3.0,2.0,1.0,,,,,,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,22.0,19.0,1.0,,0.0,11.0,11.0,8.0,11.0,,6.0,,,,71.0,33.0,6.2,8.0,"{'original': 6.2, 'alternative': 6.6}",1,-0.07,0.06,-0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,86.36363636363636,,,66.66666666666666,,,,,6.0,3.0,,3.0,2.0,,,,1.0,,4.0,,,1.0,-0.05,1.0,,,4.0,,,,1.0,,,,,,,,,,
14015455,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,22.0,16.0,5.0,2.0,0.0,9.0,10.0,7.0,12.0,,1.0,,,,32.0,29.0,6.9,7.0,"{'original': 6.9, 'alternative': 7.3}",1,0.23,-0.49,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,72.72727272727273,40.0,,,,,,1.0,4.0,3.0,1.0,,,,2.0,1.0,1.0,,2.0,,1.0,,-0.02,,2.0,,1.0,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,9.0,6.0,,,0.0,1.0,2.0,5.0,7.0,,3.0,,,,32.0,18.0,7.3,8.0,"{'original': 7.3, 'alternative': 7.4}",3,0.06,0.22,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,66.66666666666666,,,,,,,4.0,2.0,5.0,,1.0,,,,,,,,,3.0,1.0,0.39,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,
14015455,home,5150,FK Vojvodina,194450,Uroš Nikolić,uros-nikolic,M,10,True,17.0,13.0,1.0,1.0,0.0,4.0,5.0,9.0,12.0,,5.0,,,,32.0,34.0,7.2,12.0,"{'original': 7.2, 'alternative': 6.7}",3,0.59,0.24,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,76.47058823529412,100.0,60.0,,,5.0,3.0,,4.0,,,2.0,,,,,1.0,3.0,,1.0,1.0,,-0.49,,,,3.0,,,1.0,1.0,2.0,,,,,,,,,
14015455,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,2.0,,,,,14.0,5.0,6.7,,"{'original': 6.7, 'alternative': 6.7}",0,0.01,-0.01,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14015455,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,2.0,1.0,,,0.0,,,1.0,2.0,,1.0,,,,1.0,3.0,,2.0,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,50.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,F,55,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,away,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,33.0,18.0,18.0,3.0,0.0,15.0,18.0,3.0,15.0,,10.0,,,,90.0,42.0,6.8,15.0,"{'original': 6.8, 'alternative': 6.4}",0,0.04,0.04,-0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,54.54545454545454,16.666666666666664,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.948,0.44,,,,
14015455,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,D,17,False,14.0,10.0,3.0,1.0,0.0,5.0,6.0,5.0,8.0,3.0,3.0,,,,77.0,32.0,7.1,8.0,"{'original': 7.1, 'alternative': 7.1}",0,0.27,0.06,-0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,71.42857142857143,33.33333333333333,100.0,100.0,,1.0,1.0,,4.0,2.0,3.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,
14015455,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,46.0,37.0,13.0,8.0,0.0,26.0,29.0,11.0,17.0,5.0,4.0,,,,90.0,59.0,6.6,11.0,"{'original': 6.6, 'alternative': 6.6}",0,0.2,0.02,-0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,80.43478260869566,61.53846153846154,,,,,,3.0,3.0,4.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,37.0,32.0,3.0,,0.0,26.0,27.0,6.0,10.0,8.0,4.0,,,,90.0,52.0,6.2,6.0,"{'original': 6.2, 'alternative': 6.4}",0,0.03,0.06,-0.8,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,86.48648648648648,,,100.0,,,,1.0,5.0,3.0,,1.0,1.0,,,,2.0,,3.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,
14015455,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,42.0,34.0,9.0,5.0,0.0,20.0,23.0,14.0,19.0,2.0,7.0,,,,90.0,52.0,6.2,10.0,"{'original': 6.2, 'alternative': 6.3}",0,0.25,0.07,-0.4,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,80.95238095238095,55.55555555555556,,,,,,,4.0,3.0,,1.0,,2.0,2.0,,1.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,24.0,16.0,,,0.0,5.0,7.0,11.0,17.0,,4.0,,,,90.0,47.0,6.4,10.0,"{'original': 6.4, 'alternative': 6.7}",1,0.25,0.03,-0.46,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,6,0,66.66666666666666,,33.33333333333333,,,3.0,1.0,,1.0,6.0,,,,1.0,3.0,1.0,,,1.0,,,3.0,-0.1,,1.0,,,,1.0,,,1.0,,,,,,,,,
14015455,away,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,False,30.0,23.0,5.0,2.0,0.0,8.0,9.0,15.0,21.0,2.0,5.0,,,,90.0,45.0,5.8,12.0,"{'original': 5.8, 'alternative': 5.9}",1,-0.13,0.3,-0.56,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,76.66666666666667,40.0,,,,1.0,,2.0,3.0,3.0,1.0,,,3.0,1.0,1.0,,,1.0,,,,0.01,,,,2.0,,,1.0,,1.0,,,,,,,,1.0,
14015455,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,32.0,27.0,4.0,2.0,0.0,17.0,19.0,10.0,13.0,4.0,4.0,,,,90.0,41.0,6.9,7.0,"{'original': 6.9, 'alternative': 6.6}",0,0.11,0.21,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,84.375,50.0,,100.0,,1.0,,3.0,2.0,5.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,35.0,29.0,5.0,,0.0,18.0,19.0,11.0,16.0,3.0,5.0,,,,77.0,44.0,6.8,8.0,"{'original': 6.8, 'alternative': 7.1}",2,0.03,0.04,-0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,82.85714285714286,,,100.0,,1.0,,,4.0,1.0,3.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,0.32,1.0,1.0,,,,,,,,1.0,,,,,,,,
14015455,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,20.0,8.0,1.0,1.0,0.0,4.0,6.0,4.0,14.0,2.0,,,,,90.0,35.0,6.9,13.0,"{'original': 6.9, 'alternative': 6.8}",2,-0.13,-0.2,0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,11,3,3,0,40.0,100.0,100.0,,,1.0,1.0,5.0,6.0,8.0,,,,1.0,2.0,1.0,,,6.0,,,1.0,-0.28,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,
14015455,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,False,13.0,5.0,,,0.0,1.0,1.0,4.0,12.0,1.0,3.0,,,,77.0,43.0,5.9,23.0,"{'original': 5.9, 'alternative': 6.1}",2,-0.35,-0.37,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,5,11,38.46153846153847,,,25.0,,,,,12.0,5.0,1.0,8.0,2.0,1.0,2.0,1.0,3.0,,1.0,,,1.0,-0.51,1.0,,,6.0,,,1.0,1.0,1.0,,,,,,,,,1.0
14015455,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,True,7.0,5.0,,,0.0,1.0,2.0,4.0,5.0,,,,,,13.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': 6.8}",0,0.01,0.03,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,71.42857142857143,,,,,,,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015455,away,270973,FK Čukarički,814301,Slavoljub Srnić,slavoljub-srnic,M,55,True,5.0,2.0,2.0,,0.0,1.0,2.0,1.0,3.0,,1.0,,,,13.0,12.0,6.4,6.0,"{'original': 6.4, 'alternative': 6.5}",0,-0.1,,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,40.0,,,,,2.0,,,2.0,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
14015455,away,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,,1.0,,,,13.0,7.0,6.6,3.0,"{'original': 6.6, 'alternative': 6.5}",1,-0.11,0.07,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,50.0,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,-0.17,,,,1.0,,,,,1.0,,,,,,,,,
14015455,away,5148,FK Čukarički,1967206,Jovan Vojnović,jovan-vojnovic,D,2,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,away,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
