match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,fouls,shotOffTarget,outfielderBlock,shotValueNormalized,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,totalOffside
14015591,home,5144,FK Javor Ivanjica,799178,Marko Kolaković,marko-kolakovic,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,30.0,25.0,7.0,2.0,0.0,25.0,25.0,,5.0,,,,7.0,,2.0,3.0,90.0,35.0,7.8,5.0,37.848632752886,7.0,17.06815715449,0.0,0.3261,"{'original': 7.8, 'alternative': 7.3}",0,0.04,-0.01,0.17,0.32,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,28.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,21.0,17.0,1.0,,0.0,3.0,3.0,14.0,18.0,2.0,6.0,3.0,2.0,,,,90.0,58.0,6.7,16.0,60.180801537966,7.0,-4.051548814163,1.0,,"{'original': 6.7, 'alternative': 7.3}",0,-0.05,0.27,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,1,4,80.95238095238095,,,,,8.0,,4.0,5.0,,1.0,,1.0,,,1.0,1.0,8.7317220535013,9.5823237787084,2.0,2.0,,1.0,,1.0,,,
14015591,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,31.0,23.0,5.0,1.0,0.0,15.0,18.0,8.0,13.0,3.0,6.0,4.0,4.0,,,,90.0,46.0,8.0,11.0,78.11554611427,8.0,39.958752379663,0.0,,"{'original': 8, 'alternative': 7.3}",0,0.26,0.03,1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,74.19354838709677,20.0,,,,2.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,3.0,,3.0,,,,,
14015591,away,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,60.0,51.0,8.0,4.0,0.0,38.0,42.0,13.0,18.0,2.0,6.0,6.0,4.0,,,,90.0,74.0,7.0,10.0,136.39562970909,18.0,111.43358785753,0.0,,"{'original': 7, 'alternative': 6.8}",0,0.28,0.09,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,85.0,50.0,,,,,,1.0,4.0,1.0,,,,1.0,,,2.0,,,,2.0,,,,1.0,,,
14015591,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,44.0,39.0,7.0,4.0,0.0,28.0,28.0,11.0,16.0,2.0,5.0,6.0,4.0,,,,90.0,52.0,6.8,5.0,300.8210609848,25.0,217.94319838442,3.0,,"{'original': 6.8, 'alternative': 7.1}",0,0.26,0.12,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,88.63636363636364,57.14285714285714,,,,,,,2.0,,,,,1.0,,,1.0,28.759464014518,99.546993056842,,2.0,,,,1.0,,,
14015591,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,29.0,23.0,2.0,2.0,0.0,11.0,11.0,12.0,18.0,1.0,3.0,2.0,8.0,,,,89.0,52.0,6.9,15.0,145.44876562402,13.0,78.438947144636,1.0,,"{'original': 6.9, 'alternative': 7.3}",2,0.28,0.1,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,79.3103448275862,100.0,14.285714285714285,66.66666666666666,,7.0,1.0,,3.0,,3.0,2.0,1.0,1.0,1.0,2.0,,39.307611042678,48.519545020538,,,2.0,,-0.31,1.0,,,
14015591,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,57.0,47.0,5.0,3.0,0.0,24.0,25.0,23.0,32.0,,2.0,,2.0,,,,90.0,67.0,7.4,12.0,196.84929699569,19.0,119.80335005419,3.0,,"{'original': 7.4, 'alternative': 7.2}",1,0.34,0.13,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,82.45614035087719,60.0,,,,,,4.0,7.0,,,,1.0,2.0,1.0,1.0,1.0,19.012188936167,61.3476437094,,,,,-0.24,2.0,1.0,,
14015591,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,34.0,29.0,2.0,1.0,0.0,11.0,13.0,18.0,21.0,1.0,2.0,3.0,2.0,,,,83.0,49.0,6.9,9.0,225.56038315674,21.0,122.23662327419,3.0,,"{'original': 6.9, 'alternative': 7}",2,0.06,0.28,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,85.29411764705883,50.0,33.33333333333333,100.0,,3.0,1.0,1.0,5.0,,1.0,1.0,,1.0,1.0,2.0,2.0,29.514137708012,60.70880118328,1.0,1.0,2.0,,-0.21,,,,
