match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,shotOffTarget,blockedScoringAttempt,savedShotsFromInsideTheBox
15280975,away,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,26.0,21.0,15.0,10.0,0.0,14.0,15.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,90.0,30.0,6.9,4.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.76923076923077,66.66666666666666,,,,,,,,2.0
15280975,away,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubovic,aleksa-golubovic,D,2,False,21.0,19.0,0.0,0.0,0.0,12.0,13.0,6.0,7.0,1.0,1.0,2.0,0.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,46.0,29.0,6.3,5.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,2,10,90.47619047619048,,100.0,0.0,,,1.0,,,
15280975,away,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,64.0,55.0,10.0,3.0,0.0,40.0,43.0,14.0,20.0,0.0,0.0,4.0,1.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,80.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,85.9375,30.0,,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,893161,Anto Babić,anto-babic,D,72,False,48.0,46.0,4.0,4.0,0.0,28.0,29.0,18.0,19.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,64.0,64.0,6.9,7.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,95.83333333333334,100.0,,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,34.0,26.0,3.0,1.0,0.0,16.0,16.0,9.0,17.0,2.0,1.0,4.0,0.0,8.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,46.0,6.9,7.0,0.09,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,5,4,76.47058823529412,33.33333333333333,50.0,100.0,,,,1.0,,
15280975,away,6224,FK Sutjeska Nikšić,1381358,Petar Anicic,petar-anicic,M,9,False,25.0,16.0,0.0,0.0,0.0,8.0,12.0,8.0,13.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,46.0,34.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,64.0,,,,,,1.0,,,
15280975,away,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,39.0,34.0,2.0,2.0,0.0,14.0,16.0,17.0,20.0,0.0,0.0,4.0,3.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,46.0,6.7,6.0,0.0,0.23,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,0,6,87.17948717948718,100.0,,,,1.0,,,,
15280975,away,6224,FK Sutjeska Nikšić,138947,Deni Hočko,deni-hocko,M,44,False,54.0,44.0,4.0,2.0,0.0,23.0,27.0,21.0,27.0,1.0,0.0,0.0,1.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,,,,,,90.0,65.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,4,11,81.48148148148148,50.0,0.0,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,1896811,Medo Jukovic,medo-jukovic,M,88,False,15.0,10.0,0.0,0.0,0.0,1.0,2.0,9.0,13.0,1.0,0.0,1.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,64.0,28.0,6.4,8.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,2,9,66.66666666666666,,0.0,100.0,,,1.0,,,
15280975,away,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,F,19,False,34.0,19.0,1.0,0.0,0.0,8.0,10.0,11.0,22.0,2.0,1.0,3.0,0.0,15.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,,,,90.0,50.0,7.4,19.0,0.97,0.11,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,3,19,7,12,55.88235294117647,0.0,50.0,,,1.0,,,1.0,
15280975,away,6224,FK Sutjeska Nikšić,1005753,Marko Mrvaljević,marko-mrvaljevic,F,99,False,11.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,8.0,0.0,0.0,2.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,64.0,16.0,6.5,8.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,1,6,81.81818181818183,100.0,,,,,2.0,,,
15280975,away,6224,FK Sutjeska Nikšić,1149283,Milos Vracar,milos-vracar,D,4,True,19.0,12.0,2.0,0.0,0.0,8.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,44.0,27.0,6.3,11.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,3,10,63.1578947368421,0.0,,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,True,13.0,5.0,2.0,0.0,0.0,3.0,5.0,2.0,8.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,44.0,20.0,6.9,8.0,0.11,0.2,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,38.46153846153847,0.0,25.0,100.0,,1.0,,,,
15280975,away,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanovic,bojan-damjanovic,D,91,True,18.0,12.0,1.0,0.0,0.0,6.0,9.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,26.0,26.0,6.4,4.0,0.25,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,66.66666666666666,0.0,,,,,,1.0,,
15280975,away,6224,FK Sutjeska Nikšić,850088,Jovan Čađenović,jovan-cadenovic,M,20,True,11.0,6.0,0.0,0.0,0.0,3.0,6.0,3.0,5.0,1.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26.0,15.0,6.5,8.0,0.23,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,54.54545454545454,,0.0,100.0,,,,1.0,,
15280975,away,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26.0,5.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,0,4,,,,,,,1.0,,,
15280975,away,6224,FK Sutjeska Nikšić,1032030,Stojan Vukcevic,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,1005621,Ognjen Djinovic,ognjen-dinovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280975,away,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
