match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,bigChanceMissed,shotOffTarget,blockedScoringAttempt,penaltyConceded
14147391,home,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,False,26.0,24.0,4.0,2.0,0.0,22.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,90.0,29.0,5.7,3.0,0.0,0.0,"{'original': 5.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,92.3076923076923,50.0,,,0.0,,,,,,
14147391,home,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,32.0,25.0,3.0,2.0,0.0,10.0,13.0,10.0,13.0,3.0,2.0,2.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,38.0,6.4,11.0,0.0,0.05,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,1,7,78.125,66.66666666666666,66.66666666666666,,,1.0,,,,,
14147391,home,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,D,29,False,92.0,67.0,23.0,9.0,0.0,35.0,39.0,31.0,49.0,2.0,1.0,1.0,2.0,3.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,90.0,115.0,7.7,25.0,0.39,0.0,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,72.82608695652173,39.130434782608695,50.0,100.0,,,,,,,
14147391,home,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,68.0,64.0,10.0,8.0,0.0,39.0,39.0,24.0,28.0,0.0,0.0,2.0,2.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,82.0,6.7,6.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,94.11764705882352,80.0,,,,1.0,,,,,
14147391,home,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,False,34.0,32.0,1.0,1.0,0.0,12.0,13.0,19.0,20.0,3.0,2.0,0.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,55.0,45.0,7.0,6.0,0.0,0.39,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,94.11764705882352,100.0,66.66666666666666,100.0,,2.0,,,,,
14147391,home,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,False,30.0,24.0,1.0,1.0,0.0,10.0,10.0,12.0,17.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,64.0,34.0,6.4,6.0,0.57,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,80.0,100.0,0.0,100.0,,,1.0,1.0,,,
14147391,home,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,False,6.0,3.0,0.0,0.0,0.0,3.0,4.0,,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,24.0,9.0,6.6,3.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,50.0,,,100.0,,,,,,,
14147391,home,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,23.0,15.0,3.0,2.0,0.0,3.0,4.0,12.0,18.0,2.0,0.0,1.0,1.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,,,,,,,90.0,43.0,6.1,16.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,2,20,9,11,65.21739130434783,66.66666666666666,0.0,,,,5.0,,,,
14147391,home,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,M,11,False,19.0,16.0,0.0,0.0,0.0,4.0,5.0,9.0,11.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,55.0,27.0,6.9,3.0,0.18,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,84.21052631578947,,,0.0,,,,,1.0,,
14147391,home,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,False,17.0,11.0,1.0,0.0,1.0,3.0,5.0,8.0,11.0,3.0,0.0,3.0,0.0,12.0,11.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,,,,,,,90.0,46.0,8.1,18.0,0.15,0.39,"{'original': 8.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,3,20,11,9,64.70588235294117,0.0,0.0,100.0,,1.0,4.0,,1.0,,
14147391,home,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,F,77,False,17.0,14.0,1.0,0.0,0.0,5.0,5.0,8.0,11.0,1.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,64.0,29.0,6.7,9.0,0.32,0.07,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,82.35294117647058,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,
14147391,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,True,48.0,41.0,6.0,5.0,0.0,16.0,16.0,25.0,31.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,66.0,58.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,85.41666666666666,83.33333333333334,0.0,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,True,20.0,17.0,3.0,3.0,0.0,3.0,4.0,11.0,13.0,1.0,0.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,35.0,22.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,85.0,100.0,0.0,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,20.0,12.0,0.0,0.0,0.0,4.0,6.0,8.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,35.0,27.0,6.4,8.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,60.0,,,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,44305,Draško Božović,drasko-bozovic,M,7,True,16.0,8.0,4.0,1.0,0.0,2.0,2.0,6.0,13.0,2.0,0.0,1.0,1.0,3.0,5.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,26.0,23.0,7.4,12.0,0.76,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,50.0,25.0,0.0,100.0,,,1.0,,,,
14147391,home,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,26.0,4.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,1976287,Andrej Camaj,andrej-camaj,G,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147391,home,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,F,72,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
