match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,bigChanceCreated,interceptionWon,totalTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,wonTackle,shotValueNormalized,totalContest,wonContest,shotOffTarget,wasFouled,challengeLost,bigChanceMissed,totalOffside,onTargetScoringAttempt,goodHighClaim,hitWoodwork
14015594,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,21.0,15.0,1.0,,0.0,6.0,9.0,9.0,12.0,1.0,3.0,,,,,,90.0,39.0,7.0,13.0,191.09787545629,19.0,31.20771561668,4.0,,"{'original': 7, 'alternative': 7}",1,-0.11,0.31,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,71.42857142857143,,,,,3.0,,,1.0,4.0,1.0,,,1.0,3.0,,15.27534359629,49.912602564465,1.0,1.0,,,,-0.06,,,,3.0,,,,1.0,,
14015594,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,9.0,3.0,2.0,1.0,0.0,2.0,5.0,1.0,4.0,,,,,,,,81.0,18.0,6.0,10.0,49.043808598171,8.0,-7.422911130731,1.0,,"{'original': 6, 'alternative': 6.5}",2,-0.18,0.16,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,11,4,2,2,33.33333333333333,50.0,,,,,,10.0,12.0,3.0,1.0,,1.0,,2.0,,8.9462399216417,10.833629308777,,1.0,1.0,,,-0.35,1.0,,1.0,2.0,,,,,,1.0
14015594,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,5.0,3.0,1.0,,0.0,,,3.0,5.0,1.0,3.0,,,,,,23.0,16.0,6.4,7.0,40.618539325604,4.0,35.597514272113,1.0,,"{'original': 6.4, 'alternative': 6.2}",0,-0.04,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,60.0,,,,,1.0,,1.0,5.0,2.0,,,,,1.0,1.0,12.880092590703,13.030696220847,,,,,,,3.0,,,2.0,,,,,,
14015594,away,282203,FK Železničar Pančevo,2216578,Sumaila Wasiu,sumaila-wasiu,F,66,True,1.0,,,,0.0,,,,1.0,,,,,,,,9.0,1.0,6.5,1.0,4.3928687665352,1.0,-2.1467364079175,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
14015594,away,282203,FK Železničar Pančevo,1500279,Dusan Jovanović,dusan-jovanovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,1544669,Davorin Tošić,davorin-tosic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,2276490,Abdoul Sawadogo,abdoul-sawadogo,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,253775,FK Železničar Pančevo,1803851,Mirko Stevanović,mirko-stevanovic,G,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
