match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,totalTackle,wonTackle,fouls,totalContest,wonContest,unsuccessfulTouch,wasFouled,outfielderBlock,shotOffTarget,keyPass,shotValueNormalized,dispossessed,onTargetScoringAttempt,accurateCross,bigChanceMissed,blockedScoringAttempt,totalOffside,hitWoodwork,goodHighClaim,bigChanceCreated
14015556,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,home,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,36.0,31.0,10.0,5.0,0.0,30.0,33.0,1.0,3.0,1.0,1.0,,9.0,2.0,3.0,,1.0,1.0,90.0,44.0,7.5,6.0,50.048195906654,9.0,-20.265,3.675,0.3264,"{'original': 7.5, 'alternative': 7.4}",0,0.03,0.02,0.22,0.32,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,86.11111111111111,50.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015556,away,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,64.0,58.0,6.0,2.0,0.0,26.0,27.0,32.0,37.0,1.0,6.0,4.0,9.0,,,,,,84.0,86.0,7.6,13.0,226.03600043635,23.0,-116.655,11.445,,"{'original': 7.6, 'alternative': 7.8}",0,0.29,0.31,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,90.625,33.33333333333333,20.0,,,5.0,,3.0,1.0,1.0,4.0,3.0,2.0,,,2.0,1.0,,,2.0,,,,1.0,,,,,,1.0
14015556,away,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,73.0,66.0,5.0,2.0,0.0,36.0,37.0,30.0,36.0,1.0,3.0,1.0,8.0,,,,,,90.0,83.0,7.4,8.0,92.605124836294,13.0,-71.61,3.465,,"{'original': 7.4, 'alternative': 7.3}",0,0.21,0.27,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,90.41095890410958,40.0,,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,97.0,85.0,13.0,9.0,0.0,51.0,53.0,34.0,44.0,1.0,4.0,6.0,11.0,,,,,,90.0,111.0,7.8,13.0,285.73049429592,31.0,-131.355,23.73,,"{'original': 7.8, 'alternative': 8}",0,0.4,0.23,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,87.62886597938144,69.23076923076923,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,,3.0,,,,,,,,,,1.0
14015556,away,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,34.0,29.0,4.0,2.0,0.0,13.0,14.0,16.0,20.0,2.0,5.0,1.0,3.0,,,,,,61.0,54.0,7.1,11.0,68.976594654868,9.0,-50.61,4.095,,"{'original': 7.1, 'alternative': 7.2}",1,0.05,0.06,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,85.29411764705883,50.0,,,,3.0,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,,,,-0.21,,,,,1.0,,,,
14015556,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,51.0,49.0,8.0,8.0,0.0,26.0,26.0,23.0,25.0,1.0,5.0,1.0,6.0,,,,,,90.0,66.0,7.2,8.0,80.217413889825,14.0,24.675,9.24,,"{'original': 7.2, 'alternative': 7.4}",0,0.26,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,96.07843137254902,100.0,33.33333333333333,,,6.0,,5.0,,,3.0,2.0,3.0,1.0,,,2.0,,,2.0,,1.0,,2.0,,,,,,
14015556,away,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,72.0,63.0,3.0,1.0,0.0,26.0,27.0,37.0,45.0,1.0,5.0,,5.0,,,,,,90.0,83.0,7.1,9.0,136.98823516422,19.0,-18.585,11.025,,"{'original': 7.1, 'alternative': 7.3}",1,0.27,0.2,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,87.5,33.33333333333333,,,,,3.0,4.0,1.0,1.0,3.0,3.0,,,,,1.0,,,,0.12,,1.0,,,,,,,
14015556,away,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,False,15.0,14.0,1.0,1.0,0.0,4.0,4.0,10.0,11.0,,3.0,,3.0,,,,,,62.0,27.0,6.9,5.0,160.94566054802,11.0,-104.16,3.36,,"{'original': 6.9, 'alternative': 7.1}",2,0.12,0.32,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,93.33333333333333,100.0,50.0,33.33333333333333,,2.0,1.0,3.0,,1.0,,,,3.0,1.0,1.0,2.0,,2.0,2.0,-0.45,,,1.0,1.0,,,,,
