match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,bigChanceMissed,dispossessed,shotOffTarget,blockedScoringAttempt,hitWoodwork,penaltyWon,savedShotsFromInsideTheBox,bigChanceCreated
14147375,away,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,False,13.0,8.0,7.0,3.0,0.0,5.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,90.0,16.0,7.2,8.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,61.53846153846154,42.857142857142854,,,0.0,,,,,,,,6.0,
14147375,away,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,29.0,25.0,2.0,1.0,0.0,16.0,18.0,6.0,8.0,1.0,1.0,0.0,2.0,12.0,4.0,4.0,3.0,1.0,0.0,0.0,5.0,0.0,2.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,42.0,5.6,13.0,0.0,0.47,"{'original': 5.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,2,12,86.20689655172413,50.0,100.0,33.33333333333333,,2.0,,2.0,,,,,,1.0
14147375,away,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,D,29,False,40.0,30.0,19.0,11.0,0.0,15.0,17.0,14.0,22.0,0.0,0.0,3.0,1.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,11.0,3.0,4.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,66.0,7.0,13.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,2,10,75.0,57.89473684210527,,50.0,,,,1.0,,,,,,
14147375,away,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,29.0,20.0,2.0,1.0,0.0,15.0,22.0,4.0,6.0,0.0,0.0,1.0,2.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,16.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,44.0,6.2,13.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,2,9,68.96551724137932,50.0,,,,,,,,,,,,
14147375,away,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,False,37.0,28.0,6.0,3.0,0.0,11.0,15.0,16.0,20.0,2.0,1.0,0.0,3.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,90.0,49.0,6.7,15.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,0,13,75.67567567567568,50.0,50.0,,,,,,,,,,,
14147375,away,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,23.0,12.0,3.0,0.0,0.0,4.0,10.0,6.0,11.0,0.0,0.0,2.0,1.0,11.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,90.0,40.0,5.9,17.0,0.01,0.0,"{'original': 5.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,3,9,52.17391304347826,0.0,,50.0,,,,2.0,,1.0,,,,
14147375,away,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,False,26.0,17.0,2.0,1.0,0.0,9.0,13.0,8.0,11.0,0.0,0.0,3.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,65.0,33.0,6.4,17.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,65.38461538461539,50.0,,,,,,,,,,,,
14147375,away,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,False,25.0,18.0,1.0,1.0,0.0,10.0,13.0,7.0,11.0,0.0,0.0,0.0,1.0,7.0,7.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,74.0,40.0,7.6,10.0,0.57,0.01,"{'original': 7.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,72.0,100.0,,100.0,,1.0,,,,,,,,
14147375,away,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,False,12.0,8.0,1.0,0.0,1.0,5.0,6.0,1.0,4.0,1.0,0.0,1.0,0.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,58.0,21.0,6.3,6.0,0.38,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,3,9,66.66666666666666,0.0,0.0,0.0,,,1.0,,1.0,,,,,
14147375,away,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,F,11,False,15.0,10.0,0.0,0.0,0.0,6.0,9.0,4.0,5.0,0.0,0.0,2.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,65.0,20.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,2,8,66.66666666666666,,,,,,,1.0,,,,,,
14147375,away,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,F,77,False,22.0,12.0,0.0,0.0,0.0,4.0,7.0,8.0,15.0,2.0,0.0,1.0,3.0,10.0,8.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,74.0,41.0,6.7,16.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,5,9,54.54545454545454,,0.0,66.66666666666666,,,,3.0,1.0,,,,,
14147375,away,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,M,72,True,6.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,32.0,11.0,6.5,8.0,0.01,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,1,4,66.66666666666666,,,,,,,,1.0,,,,,
14147375,away,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,M,18,True,11.0,5.0,1.0,0.0,0.0,2.0,3.0,3.0,8.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,17.0,6.7,3.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,45.45454545454545,0.0,0.0,50.0,,,,,,1.0,,,,
14147375,away,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,True,11.0,9.0,1.0,0.0,0.0,3.0,3.0,6.0,8.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,25.0,14.0,6.3,4.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,81.81818181818183,0.0,,50.0,,,,1.0,,,,,,
14147375,away,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,3.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,16.0,8.0,6.6,1.0,0.07,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,100.0,,,100.0,,,,,1.0,,,,,
14147375,away,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,5.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.0,6.0,6.6,2.0,0.0,0.04,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,,,,,1.0,,,,,,,,
14147375,away,6226,FK Dečić Tuzi,49469,Pavle Velimirović,pavle-velimirovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147375,away,829702,FK Dečić Tuzi,1063190,Bogdan Milić,bogdan-milic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147375,away,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147375,away,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
