match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,bigChanceMissed
14147338,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,28.0,22.0,2.0,1.0,0.0,13.0,15.0,9.0,12.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.0,35.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,78.57142857142857,50.0,,,,,,1.0,,,
14147338,away,6216,OFK Petrovac,959010,Zaim Divanović,zaim-divanovic,M,23,False,44.0,38.0,6.0,5.0,0.0,23.0,23.0,14.0,20.0,1.0,0.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,,,,,,76.0,61.0,6.9,9.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,6,5,86.36363636363636,83.33333333333334,0.0,,,,,,,,
14147338,away,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,25.0,17.0,2.0,1.0,0.0,3.0,4.0,13.0,19.0,1.0,0.0,1.0,1.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,44.0,7.0,13.0,0.07,0.25,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,1,9,68.0,50.0,0.0,0.0,,,2.0,,1.0,,
14147338,away,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,46.0,42.0,1.0,1.0,0.0,20.0,20.0,20.0,24.0,0.0,0.0,2.0,0.0,10.0,5.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,69.0,8.4,9.0,0.2,0.46,"{'original': 8.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,5,8,91.30434782608695,100.0,,100.0,,,3.0,3.0,1.0,1.0,
14147338,away,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,8.0,2.0,0.0,0.0,0.0,2.0,2.0,,6.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,46.0,15.0,6.6,8.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,25.0,,0.0,100.0,,,,1.0,,,
14147338,away,37956,OFK Petrovac,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,9,False,5.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,76.0,19.0,6.4,9.0,0.46,0.0,"{'original': 6.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,1,8,80.0,,,,,2.0,,3.0,,,1.0
14147338,away,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,True,13.0,11.0,0.0,0.0,1.0,3.0,4.0,8.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,44.0,24.0,6.7,5.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,84.61538461538461,,,,,,,,,,
14147338,away,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,M,10,True,10.0,6.0,4.0,2.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,,,,,,,44.0,16.0,6.8,4.0,0.04,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,60.0,50.0,,100.0,,,,,,,
14147338,away,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,M,30,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,14.0,7.0,6.8,1.0,0.26,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,100.0,,1.0,,,,,
14147338,away,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,True,5.0,5.0,0.0,0.0,0.0,4.0,4.0,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14.0,7.0,6.8,0.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,,,,
14147338,away,829702,OFK Petrovac,886236,Alija Krnić,alija-krnic,F,47,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,,,,,,,,,,,
14147338,away,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,away,241802,OFK Petrovac,1606688,Nikola Balević,nikola-balevic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,away,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,F,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
