match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,keyPass,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,wonTackle,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,accurateCross,bigChanceMissed,totalOffside,blockedScoringAttempt,hitWoodwork,dispossessed
14015489,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,D,33,False,10.0,7.0,2.0,1.0,0.0,6.0,8.0,1.0,2.0,,1.0,,,63.0,32.0,5.9,7.0,,,"{'original': 5.9, 'alternative': 6}",1,-0.02,0.0,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,70.0,50.0,,,,,,3.0,4.0,,2.0,,,2.0,,-0.01,,,2.0,2.0,1.0,3.0,,,,,,,1.0,,
14015489,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,23.0,14.0,7.0,2.0,0.0,12.0,15.0,2.0,8.0,,2.0,,,45.0,30.0,6.0,9.0,,,"{'original': 6, 'alternative': 6.4}",1,-0.06,0.01,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,60.86956521739131,28.57142857142857,,,,,2.0,1.0,2.0,1.0,4.0,1.0,,,1.0,-0.2,,,,,,,,,,,,,,,
14015489,away,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,False,19.0,14.0,3.0,1.0,0.0,11.0,12.0,3.0,7.0,,2.0,,,90.0,23.0,5.6,5.0,,,"{'original': 5.6, 'alternative': 5.9}",0,0.05,0.02,-0.72,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,73.68421052631578,33.33333333333333,,,,,1.0,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,23.0,13.0,6.0,1.0,0.0,12.0,17.0,1.0,6.0,,2.0,,,90.0,37.0,5.5,12.0,,,"{'original': 5.5, 'alternative': 6.1}",1,0.03,0.06,-0.61,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,56.52173913043478,16.666666666666664,,,,2.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,,-0.08,,,,,,1.0,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,17.0,10.0,4.0,2.0,0.0,3.0,6.0,7.0,11.0,,2.0,,,63.0,32.0,5.9,11.0,,,"{'original': 5.9, 'alternative': 6.1}",0,-0.02,0.13,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,58.82352941176471,50.0,,100.0,,1.0,1.0,1.0,3.0,,4.0,1.0,1.0,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,47.0,36.0,6.0,3.0,0.0,12.0,16.0,24.0,31.0,,5.0,,,90.0,60.0,6.3,16.0,,2.0,"{'original': 6.3, 'alternative': 6.6}",3,0.18,0.27,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,76.59574468085107,50.0,,20.0,,2.0,1.0,8.0,4.0,,,,1.0,1.0,3.0,-0.02,1.0,,1.0,,,5.0,1.0,3.0,,,,,,,
14015489,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,43.0,37.0,6.0,4.0,0.0,27.0,29.0,10.0,14.0,,4.0,,,90.0,63.0,7.0,10.0,,,"{'original': 7, 'alternative': 6.8}",1,0.18,0.12,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,3,3,86.04651162790698,66.66666666666666,100.0,100.0,,2.0,3.0,5.0,6.0,,5.0,4.0,2.0,1.0,,-0.07,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0
14015489,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,38.0,32.0,2.0,1.0,0.0,16.0,16.0,16.0,22.0,,2.0,,,90.0,52.0,6.4,12.0,,1.0,"{'original': 6.4, 'alternative': 6.6}",1,0.1,-0.06,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,84.21052631578947,50.0,,50.0,,2.0,1.0,7.0,3.0,1.0,2.0,,4.0,,3.0,-0.19,,,1.0,,,2.0,1.0,,,,,,,,1.0
14015489,away,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,M,12,False,13.0,10.0,1.0,,0.0,4.0,4.0,6.0,9.0,,2.0,,,78.0,32.0,5.9,8.0,,2.0,"{'original': 5.9, 'alternative': 6.4}",2,-0.02,0.18,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,76.92307692307693,,50.0,,,4.0,1.0,8.0,3.0,1.0,2.0,,2.0,2.0,2.0,-0.42,1.0,,,,4.0,1.0,,1.0,,2.0,,,,,
14015489,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,False,19.0,13.0,,,0.0,5.0,7.0,8.0,12.0,,2.0,,,72.0,32.0,6.1,15.0,,1.0,"{'original': 6.1, 'alternative': 6.3}",0,-0.38,0.23,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,68.42105263157895,,,,,1.0,,4.0,1.0,,1.0,,6.0,1.0,,,,,,,,1.0,,,,,,,,,2.0
