match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,keyPass,aerialWon,outfielderBlock,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalCross,dispossessed,blockedScoringAttempt,totalOffside,shotValueNormalized,accurateCross,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,goals,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
14015567,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,795899,Ognjen Čančarević,ognjen-cancarevic,G,55,False,27.0,20.0,15.0,10.0,0.0,14.0,16.0,6.0,11.0,1.0,1.0,7.0,,,,,90.0,33.0,5.7,8.0,66.096604557482,10.0,37.745799883839,,"{'original': 5.7, 'alternative': 6.1}",0,0.07,-0.18,-0.31,-1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,74.07407407407408,66.66666666666666,,100.0,100.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
14015567,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,15.0,9.0,2.0,,0.0,4.0,7.0,5.0,8.0,7.0,6.0,3.0,3.0,3.0,,,90.0,53.0,6.5,18.0,39.12822220782,7.0,11.454134239222,,"{'original': 6.5, 'alternative': 6.8}",0,-0.11,0.04,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,7,3,60.0,,,33.33333333333333,,,3.0,1.0,3.0,1.0,2.0,2.0,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,
14015567,away,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,False,33.0,29.0,3.0,1.0,0.0,26.0,26.0,3.0,7.0,2.0,5.0,3.0,2.0,,,,90.0,49.0,5.9,7.0,124.85755769189,11.0,47.708072269832,,"{'original': 5.9, 'alternative': 5.8}",0,0.08,0.24,-0.65,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,87.87878787878788,33.33333333333333,,,,1.0,4.0,1.0,,,,2.0,,,1.0,1.0,1.0,43.783665537158,46.070007423485,1.0,,1.0,,,,,,,,,,,1.0
14015567,away,308176,FK IMT Beograd,791176,Vukašin Jovanović,vukasin-jovanovic,D,6,False,38.0,32.0,6.0,3.0,0.0,26.0,28.0,6.0,10.0,6.0,5.0,5.0,1.0,3.0,,,90.0,53.0,6.4,7.0,95.420167901328,14.0,15.747028494654,,"{'original': 6.4, 'alternative': 6.6}",0,-0.03,0.03,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,5,0,84.21052631578947,50.0,,100.0,,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,24.0,12.0,8.0,2.0,0.0,7.0,11.0,5.0,13.0,4.0,3.0,3.0,2.0,1.0,,,90.0,45.0,5.9,20.0,54.374274598264,9.0,2.4202148509558,,"{'original': 5.9, 'alternative': 6.3}",0,-0.18,0.05,-0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,50.0,25.0,,,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,M,94,False,8.0,6.0,2.0,,0.0,2.0,4.0,4.0,4.0,1.0,,,1.0,,,,60.0,17.0,6.1,8.0,26.622901755909,4.0,2.0450365116314,,"{'original': 6.1, 'alternative': 6.1}",0,-0.03,-0.05,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,75.0,,,,,1.0,4.0,,1.0,,,2.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,9.0,1.0,6.4,,,,,,"{'original': 6.4, 'alternative': 6.4}",0,0.0,,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,31.0,23.0,7.0,1.0,0.0,10.0,11.0,13.0,20.0,4.0,1.0,2.0,2.0,1.0,,,90.0,43.0,7.0,12.0,72.608682673832,8.0,-6.4773301734608,,"{'original': 7, 'alternative': 6.5}",1,0.6,0.11,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,74.19354838709677,14.285714285714285,25.0,,,2.0,5.0,1.0,,,,,,1.0,,1.0,2.0,,,,4.0,1.0,,,-0.12,1.0,,1.0,,,,,
