match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotValueNormalized,totalContest,wasFouled,fouls,outfielderBlock,penaltyConceded,aerialLost,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,bigChanceMissed,blockedScoringAttempt,goals,bigChanceCreated,errorLeadToAGoal,totalOffside,penaltyWon
14015548,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,34.0,20.0,21.0,7.0,0.0,16.0,19.0,4.0,15.0,8.0,2.0,,4.0,90.0,42.0,6.9,15.0,35.649234550747,4.0,8.61,5.985,0.881,"{'original': 6.9, 'alternative': 6.7}",0,0.11,-0.04,-0.1,0.58,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,58.82352941176471,33.33333333333333,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
14015548,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,42.0,35.0,3.0,1.0,0.0,23.0,27.0,12.0,15.0,7.0,,,,90.0,58.0,6.3,11.0,124.48234807353,13.0,-45.045,9.555,,"{'original': 6.3, 'alternative': 6.4}",0,0.25,0.14,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,83.33333333333334,33.33333333333333,33.33333333333333,,,3.0,2.0,4.0,2.0,2.0,,2.0,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,
14015548,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,False,24.0,19.0,4.0,2.0,0.0,13.0,15.0,6.0,9.0,2.0,,,,53.0,32.0,6.5,5.0,42.035776518461,6.0,-16.065,5.145,,"{'original': 6.5, 'alternative': 6.6}",0,0.07,0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,0,1,79.16666666666666,50.0,,,,,2.0,4.0,2.0,,,4.0,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,
14015548,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,56.0,45.0,6.0,1.0,0.0,29.0,34.0,16.0,22.0,3.0,,,,90.0,65.0,6.6,11.0,166.44852049067,15.0,-109.62,6.825,,"{'original': 6.6, 'alternative': 6.5}",0,0.19,0.27,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,80.35714285714286,16.666666666666664,,100.0,,,2.0,3.0,5.0,1.0,,5.0,1.0,,,,,,1.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,
14015548,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,False,34.0,28.0,6.0,3.0,1.0,16.0,18.0,12.0,16.0,3.0,,,,90.0,52.0,7.1,8.0,59.376982985866,5.0,-52.71,-1.365,,"{'original': 7.1, 'alternative': 7.3}",1,0.44,-0.12,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,82.35294117647058,50.0,,,,,,2.0,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,-0.03,1.0,1.0,,2.0,,,,,,,,,,,,1.0,
14015548,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,40.0,31.0,8.0,4.0,0.0,16.0,20.0,15.0,20.0,10.0,,,,90.0,58.0,7.8,9.0,291.40578431364,13.0,-99.645,37.38,,"{'original': 7.8, 'alternative': 7.4}",0,-0.11,0.44,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,9,2,77.5,50.0,,,,,1.0,4.0,10.0,,,5.0,2.0,6.0,4.0,,,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,
14015548,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,22.0,20.0,,,0.0,5.0,5.0,15.0,17.0,5.0,,,,90.0,39.0,7.1,11.0,134.77265258637,14.0,-70.77,5.565,,"{'original': 7.1, 'alternative': 7.3}",3,0.32,0.33,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,90.9090909090909,,,33.33333333333333,,1.0,1.0,6.0,6.0,,2.0,,,,,2.0,1.0,0.06,3.0,4.0,1.0,,,,3.0,1.0,,1.0,1.0,,,,,1.0,1.0
14015548,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,15.0,12.0,1.0,1.0,1.0,5.0,8.0,7.0,7.0,2.0,,,,82.0,23.0,6.7,5.0,9.4838492680958,2.0,-4.62,-0.42,,"{'original': 6.7, 'alternative': 7.2}",3,0.35,0.33,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,80.0,100.0,,,,,,5.0,2.0,1.0,,1.0,,2.0,2.0,1.0,1.0,-0.54,,,3.0,,,1.0,,2.0,,,1.0,1.0,,1.0,,,
