match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,penaltyConceded,fouls,dispossessed,errorLeadToAGoal,challengeLost,bigChanceCreated,outfielderBlock,blockedScoringAttempt,shotValueNormalized,onTargetScoringAttempt,shotOffTarget,goals,totalOffside,goodHighClaim,savedShotsFromInsideTheBox,punches,bigChanceMissed,penaltyWon
14015546,home,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,home,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,30.0,10.0,24.0,4.0,0.0,7.0,12.0,2.0,11.0,,3.0,,,90.0,41.0,7.3,21.0,45.349934125274,6.0,-0.94499999999998,8.61,0.579,"{'original': 7.3, 'alternative': 6.5}",0,0.07,-0.05,-0.09,0.47,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,33.33333333333333,16.666666666666664,,,,3.0,18.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,,
14015546,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,False,29.0,16.0,9.0,2.0,0.0,9.0,15.0,3.0,6.0,,,,,90.0,51.0,5.9,16.0,98.536767434222,10.0,4.83,15.54,,"{'original': 5.9, 'alternative': 6.3}",1,0.06,0.03,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,55.172413793103445,22.22222222222222,100.0,,,7.0,14.0,1.0,1.0,3.0,1.0,3.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,-0.06,,,,,,,,,
14015546,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,41.0,20.0,16.0,5.0,0.0,13.0,24.0,11.0,4.0,,,,,90.0,55.0,6.2,21.0,99.057298645649,13.0,10.92,7.56,,"{'original': 6.2, 'alternative': 6.4}",0,0.04,0.21,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,9,4,1,3,48.78048780487805,31.25,,,,7.0,17.0,,,4.0,5.0,7.0,6.0,,,1.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,7.0,3.0,,,0.0,3.0,6.0,9.0,,,,,,90.0,28.0,6.6,5.0,22.243813192811,2.0,1.575,8.82,,"{'original': 6.6, 'alternative': 7.1}",1,-0.03,0.0,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,2,1,42.857142857142854,,,,,,1.0,,,1.0,6.0,2.0,8.0,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,1.0,,-0.51,,1.0,,,,,,,
14015546,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,28.0,14.0,3.0,,0.0,9.0,13.0,4.0,4.0,,,,,90.0,64.0,6.4,27.0,104.41394862297,10.0,-70.245,3.255,,"{'original': 6.4, 'alternative': 6.5}",0,0.41,-0.03,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,50.0,,28.57142857142857,,,5.0,15.0,7.0,2.0,,2.0,5.0,4.0,1.0,,2.0,1.0,,4.0,1.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,28.0,19.0,3.0,,0.0,9.0,12.0,1.0,6.0,,,,,71.0,34.0,6.0,12.0,67.283141494085,10.0,-20.79,4.2,,"{'original': 6, 'alternative': 6}",0,0.09,0.08,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,67.85714285714286,,,,,10.0,16.0,1.0,,3.0,1.0,6.0,2.0,,,,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,27.0,15.0,9.0,2.0,0.0,7.0,10.0,2.0,3.0,,,,,90.0,44.0,7.5,15.0,82.764520147047,9.0,28.56,17.01,,"{'original': 7.5, 'alternative': 7.1}",2,0.25,-0.53,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,55.55555555555556,22.22222222222222,,50.0,,8.0,17.0,,,2.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,0.51,1.0,1.0,1.0,,,,,,
14015546,away,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,False,16.0,11.0,1.0,,0.0,4.0,6.0,1.0,3.0,,,,,82.0,36.0,6.6,9.0,108.31213410415,10.0,-61.32,13.23,,"{'original': 6.6, 'alternative': 7}",3,-0.07,0.01,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,6,5,68.75,,,25.0,,7.0,10.0,,,5.0,,10.0,6.0,4.0,1.0,,2.0,1.0,1.0,3.0,,,2.0,,,,,,1.0,0.05,1.0,1.0,,,,,,1.0,1.0
14015546,away,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,14.0,12.0,1.0,,1.0,4.0,4.0,1.0,5.0,,,,,71.0,26.0,6.4,6.0,95.318014274318,8.0,-0.21000000000002,19.11,,"{'original': 6.4, 'alternative': 6.9}",1,0.25,-0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,85.71428571428571,,50.0,,,8.0,10.0,2.0,1.0,4.0,,6.0,3.0,,,,1.0,,2.0,2.0,3.0,,,1.0,,1.0,,,,0.01,1.0,,,,,,,,
14015546,away,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,13.0,4.0,4.0,,1.0,1.0,4.0,,3.0,,,,,64.0,27.0,6.0,15.0,115.35293670999,8.0,17.745,32.97,,"{'original': 6, 'alternative': 6.7}",1,0.15,0.33,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,30.76923076923077,,,50.0,,3.0,9.0,,,1.0,1.0,7.0,2.0,2.0,1.0,2.0,,,4.0,,1.0,,4.0,1.0,,,,,,0.32,1.0,,1.0,,,,,,
14015546,away,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,17.0,11.0,1.0,,0.0,4.0,4.0,2.0,,,,,,89.0,28.0,7.4,9.0,75.192039451329,9.0,-25.935,5.04,,"{'original': 7.4, 'alternative': 7.5}",3,-0.01,0.33,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,12,2,1,1,64.70588235294117,,,,,7.0,13.0,1.0,,8.0,4.0,9.0,5.0,,,,,,2.0,1.0,1.0,,2.0,,,,,,,0.47,1.0,2.0,1.0,,,,,,
14015546,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,1.0,,,,0.0,,,1.0,,,,,,19.0,6.0,6.7,5.0,8.2908456142905,1.0,-8.085,-8.085,,"{'original': 6.7, 'alternative': 6.6}",0,-0.02,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,,,,,,,1.0,,,1.0,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,3.0,2.0,1.0,,0.0,1.0,1.0,3.0,,,,,,19.0,6.0,6.6,1.0,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,,,,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,3.0,2.0,,,0.0,1.0,1.0,,1.0,,,,,8.0,5.0,6.4,2.0,38.036514010749,3.0,-11.55,3.78,,"{'original': 6.4, 'alternative': 6.5}",0,-0.06,0.11,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,2.0,2.0,,,0.0,,,,,,,,,8.0,2.0,6.5,,,,,,,"{'original': 6.5, 'alternative': 6.6}",0,0.0,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,100.0,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,44355,FK Novi Pazar,1417030,Burak Ingenç,burak-ingenc,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,4499,FK Novi Pazar,1639816,Yakup Arda Kılıç,yakup-arda-kilic,F,27,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,away,6224,FK Novi Pazar,1149283,Milos Vracar,milos-vracar,D,19,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
