match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,fouls,totalOffside,aerialLost,challengeLost,shotOffTarget,outfielderBlock,totalTackle,wonTackle,wasFouled,penaltyWon,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,penaltyConceded,keyPass,accurateCross,bigChanceCreated,blockedScoringAttempt,dispossessed,goals,errorLeadToAShot,errorLeadToAGoal,crossNotClaimed,hitWoodwork
14015484,home,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,F,8,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,28.0,12.0,19.0,5.0,0.0,10.0,17.0,2.0,11.0,1.0,1.0,,6.0,,1.0,2.0,4.0,,90.0,36.0,6.3,16.0,0.649,"{'original': 6.3, 'alternative': 6}",0,-0.13,-0.06,-0.97,0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,42.857142857142854,26.31578947368421,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,
14015484,away,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,32.0,18.0,11.0,5.0,0.0,11.0,14.0,7.0,18.0,3.0,5.0,2.0,3.0,,,,,,90.0,58.0,4.9,16.0,,"{'original': 4.9, 'alternative': 6.3}",2,-0.15,0.04,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,56.25,45.45454545454545,100.0,,,1.0,6.0,,,4.0,1.0,2.0,,3.0,1.0,,,2.0,2.0,,,-0.23,,1.0,1.0,,1.0,,1.0,,,,,,
14015484,away,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,26.0,18.0,4.0,3.0,0.0,11.0,15.0,7.0,11.0,3.0,6.0,3.0,3.0,,,,,,90.0,38.0,5.0,9.0,,"{'original': 5, 'alternative': 5.6}",1,0.05,0.0,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,3,1,69.23076923076923,75.0,,,,,5.0,,,1.0,1.0,2.0,,4.0,,1.0,1.0,3.0,2.0,,,-0.33,,,1.0,,,,,,,,1.0,,
14015484,away,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,35.0,22.0,10.0,4.0,0.0,17.0,21.0,5.0,14.0,5.0,7.0,9.0,5.0,,,,,,90.0,57.0,6.0,13.0,,"{'original': 6, 'alternative': 6.9}",0,0.01,0.08,-0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,10,5,2,3,62.857142857142854,40.0,,100.0,,,8.0,1.0,1.0,2.0,,3.0,,5.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,M,66,False,24.0,16.0,4.0,2.0,0.0,3.0,5.0,13.0,19.0,2.0,5.0,3.0,2.0,,,,,,90.0,61.0,7.3,22.0,,"{'original': 7.3, 'alternative': 7.1}",0,0.84,0.13,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,66.66666666666666,50.0,45.45454545454545,,,11.0,5.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,4.0,5.0,1.0,,1.0,,,,,
14015484,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,10.0,7.0,1.0,1.0,0.0,3.0,4.0,4.0,6.0,1.0,1.0,,1.0,,,,,,66.0,14.0,6.0,5.0,,"{'original': 6, 'alternative': 6.1}",0,0.0,0.03,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,70.0,100.0,,,,,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,30.0,19.0,6.0,2.0,0.0,5.0,11.0,14.0,19.0,,3.0,1.0,2.0,,,,,,52.0,41.0,7.3,13.0,,"{'original': 7.3, 'alternative': 7.5}",1,0.26,0.08,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,63.33333333333333,33.33333333333333,50.0,,,2.0,1.0,,,1.0,,1.0,,,,,1.0,2.0,2.0,1.0,,0.32,,1.0,,1.0,1.0,,,,1.0,,,,
14015484,away,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,15.0,11.0,2.0,,0.0,6.0,7.0,5.0,8.0,2.0,4.0,,4.0,,,,,,82.0,32.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.5}",3,0.03,-0.14,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,73.33333333333333,,,,,2.0,2.0,1.0,,2.0,3.0,,,,1.0,,,1.0,,1.0,,-0.64,1.0,1.0,,,,,2.0,,,,,,1.0
14015484,away,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,20.0,14.0,,,0.0,6.0,6.0,8.0,14.0,4.0,8.0,,3.0,,,,,,90.0,40.0,6.9,15.0,,"{'original': 6.9, 'alternative': 7.1}",2,-0.41,0.15,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,13,5,4,1,70.0,,,,,,10.0,,,,7.0,1.0,,9.0,,,,,,4.0,,0.3,1.0,2.0,,1.0,,,,1.0,1.0,,,,
