match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,challengeLost,totalClearance,totalTackle,wonTackle,fouls,bigChanceCreated,outfielderBlock,keyPass,aerialLost,bigChanceMissed,onTargetScoringAttempt,interceptionWon,errorLeadToAShot,unsuccessfulTouch,shotValueNormalized,accurateCross,dispossessed,shotOffTarget,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,blockedScoringAttempt,totalOffside,goals,punches,errorLeadToAGoal
14015588,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,25736,FK Novi Pazar,2287918,Hamad Sacirovic,hamad-sacirovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,40.0,27.0,20.0,8.0,0.0,23.0,25.0,4.0,15.0,1.0,14.0,,2.0,2.0,4.0,4.0,3.0,90.0,58.0,6.8,14.0,48.631465204536,6.0,-4.0735269539001,0.0,0.3991,"{'original': 6.8, 'alternative': 7.6}",0,0.23,0.02,0.14,-0.25,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,67.5,40.0,,,75.0,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
14015588,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,30.0,22.0,4.0,4.0,0.0,14.0,17.0,8.0,13.0,2.0,2.0,1.0,,,,,,90.0,60.0,6.2,16.0,139.9463184206,9.0,93.18925246628,3.0,,"{'original': 6.2, 'alternative': 6.8}",1,0.12,0.09,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,73.33333333333333,100.0,100.0,50.0,,1.0,,5.0,,4.0,,,,,1.0,,3.0,,1.0,1.0,,1.0,-0.22,1.0,1.0,,30.836393962017,84.553830929502,2.0,1.0,,,,,
14015588,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,52.0,39.0,9.0,2.0,0.0,31.0,31.0,8.0,21.0,4.0,1.0,1.0,,,,,,90.0,69.0,5.9,16.0,193.62219634931,18.0,121.76163970911,2.0,,"{'original': 5.9, 'alternative': 6.1}",1,0.19,0.08,-0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,75.0,22.22222222222222,,,,,3.0,1.0,,7.0,,,1.0,,,,,,,2.0,,3.0,0.0,,,1.0,27.798310449288,52.490219054305,,,,,,,1.0
14015588,away,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,False,43.0,36.0,6.0,3.0,0.0,29.0,33.0,7.0,10.0,4.0,2.0,2.0,,,,,,73.0,54.0,6.0,8.0,121.3471404016,18.0,66.232197103575,0.0,,"{'original': 6, 'alternative': 6}",0,0.1,0.07,-0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,3,0,83.72093023255815,50.0,,,,,1.0,2.0,,5.0,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0
14015588,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,41.0,30.0,4.0,1.0,0.0,17.0,20.0,13.0,21.0,10.0,4.0,2.0,,,,,,90.0,70.0,7.1,16.0,175.91708574496,17.0,79.833863984449,2.0,,"{'original': 7.1, 'alternative': 7.4}",0,0.17,0.1,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,5,1,73.17073170731707,25.0,,,,,5.0,1.0,1.0,4.0,4.0,4.0,,,,,,,,4.0,,1.0,,,,,23.748882653075,46.459718612422,,,,1.0,,,
14015588,away,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,37.0,30.0,2.0,,0.0,19.0,20.0,11.0,17.0,4.0,4.0,2.0,,,,,,88.0,49.0,6.2,9.0,88.462762400147,14.0,47.670804852219,0.0,,"{'original': 6.2, 'alternative': 6.6}",1,0.16,0.22,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,81.08108108108108,,,,,1.0,1.0,7.0,1.0,,1.0,,3.0,,,2.0,2.0,,1.0,1.0,,,-0.34,,1.0,,,,,,,1.0,,,
14015588,away,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,6.0,5.0,,,0.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,,,,,,59.0,17.0,6.3,5.0,92.276310898608,9.0,13.002691329967,1.0,,"{'original': 6.3, 'alternative': 6.5}",2,0.0,0.06,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,83.33333333333334,,,50.0,,1.0,1.0,6.0,1.0,1.0,,,1.0,,,,3.0,,,,,1.0,-0.2,,,2.0,15.255094702315,16.220933419505,2.0,1.0,,,,,
14015588,away,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,7.0,6.0,1.0,,1.0,2.0,3.0,4.0,4.0,1.0,1.0,,,,,,,59.0,13.0,6.5,3.0,12.269591580185,2.0,1.0369505057908,0.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.21,0.01,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,85.71428571428571,,,,,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,0.01,,,,,,,,1.0,,,,
