match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelLost,duelWon,challengeLost,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,wonTackle,keyPass,shotOffTarget,outfielderBlock,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,clearanceOffLine,wonContest,bigChanceMissed,onTargetScoringAttempt,bigChanceCreated,blockedScoringAttempt,hitWoodwork,goals,goodHighClaim,punches
14015615,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,16.0,13.0,1.0,1.0,0.0,2.0,2.0,11.0,14.0,,3.0,3.0,,5.0,2.0,,,66.0,24.0,6.6,4.0,123.29590574783,10.0,69.950149066919,3.0,,"{'original': 6.6, 'alternative': 7.2}",1,0.22,0.21,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,81.25,100.0,,100.0,,,,2.0,,1.0,,1.0,,,2.0,,,1.0,1.0,27.811871013012,73.662304597414,-0.22,,1.0,1.0,1.0,,,,,,
14015615,away,5144,FK Javor Ivanjica,1126871,Benjamin Acquah,benjamin-acquah,M,17,True,13.0,10.0,2.0,1.0,0.0,2.0,3.0,8.0,10.0,,5.0,6.0,1.0,,1.0,,,42.0,25.0,6.5,5.0,77.97165049919,8.0,-30.705443801522,0.0,,"{'original': 6.5, 'alternative': 6.8}",0,-0.11,-0.54,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,76.92307692307693,50.0,,,,,,1.0,1.0,,1.0,,5.0,3.0,,,2.0,1.0,2.0,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,True,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,,,,,4.0,,,,23.0,12.0,6.6,3.0,38.746307338631,6.0,20.40552009512,0.0,,"{'original': 6.6, 'alternative': 6.8}",1,-0.08,0.16,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,,,,,,,,,,2.0,,,,,,,2.0,,,,-0.16,,,,1.0,,,,,,
14015615,away,5144,FK Javor Ivanjica,1150815,Andreja Ristic,andreja-ristic,F,8,True,1.0,,1.0,,0.0,,1.0,0.0,0.0,,2.0,2.0,,1.0,1.0,,,15.0,7.0,6.7,1.0,,,,,,"{'original': 6.7, 'alternative': 6.7}",0,0.03,-0.05,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,,,100.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1473508,Mass Sise,mass-sise,M,24,True,2.0,1.0,,,0.0,,,1.0,2.0,3.0,2.0,3.0,,,,,,15.0,10.0,6.7,4.0,9.9147131748525,2.0,8.4137158561427,0.0,,"{'original': 6.7, 'alternative': 6.9}",0,-0.01,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,50.0,,,,,,,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,,1.0,3.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,799178,Marko Kolaković,marko-kolakovic,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
