match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,totalTackle,wonTackle,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,outfielderBlock,interceptionWon,wasFouled,blockedScoringAttempt,totalOffside,bigChanceCreated,bigChanceMissed,goodHighClaim,punches,lastManTackle,errorLeadToAShot
14015564,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,36.0,25.0,12.0,1.0,0.0,25.0,30.0,,6.0,6.0,,1.0,4.0,90.0,46.0,6.7,11.0,41.795379773508,7.0,6.09,3.99,0.6496,"{'original': 6.7, 'alternative': 6.9}",0,0.03,-0.05,0.13,0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,69.44444444444444,8.333333333333332,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
14015564,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,36.0,32.0,5.0,3.0,0.0,18.0,21.0,14.0,15.0,4.0,,,,90.0,55.0,6.8,6.0,128.15987733983,15.0,46.83,30.135,,"{'original': 6.8, 'alternative': 6.9}",0,0.1,0.04,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,88.88888888888889,60.0,,100.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,4.0,,,1.0,30.165672957851,1.0,,,,,,,,2.0,,,,,,,,,,
14015564,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,56.0,46.0,9.0,5.0,0.0,39.0,42.0,7.0,14.0,3.0,,,,90.0,71.0,7.5,12.0,222.5724412637,22.0,109.62,25.2,,"{'original': 7.5, 'alternative': 7}",0,0.23,0.08,0.91,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,82.14285714285714,55.55555555555556,,,,,,5.0,6.0,1.0,1.0,,,4.0,3.0,1.0,2.0,26.173520664977,1.0,,,2.0,2.0,,,,2.0,,1.0,,,,,,,1.0,
14015564,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,63.0,54.0,5.0,2.0,0.0,42.0,49.0,12.0,14.0,3.0,,,,90.0,74.0,6.7,9.0,185.15461891886,24.0,66.885,16.065,,"{'original': 6.7, 'alternative': 6.9}",1,0.1,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,85.71428571428571,40.0,,,,,,3.0,2.0,,,,,7.0,,,,,,,-0.36,3.0,2.0,1.0,,,1.0,,,,,,,,,,
14015564,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,False,30.0,19.0,8.0,,0.0,12.0,21.0,7.0,9.0,4.0,1.0,,,45.0,51.0,6.8,15.0,105.85550776835,12.0,22.05,24.465,,"{'original': 6.8, 'alternative': 6.4}",0,0.08,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,63.33333333333333,,,100.0,,,,4.0,8.0,,1.0,1.0,,2.0,4.0,3.0,2.0,25.877303742855,1.0,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,1.0
14015564,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,30.0,21.0,6.0,3.0,0.0,15.0,22.0,6.0,8.0,4.0,,,,58.0,41.0,7.0,10.0,75.520783650921,10.0,25.305,9.555,,"{'original': 7, 'alternative': 6.9}",2,-0.09,0.03,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,70.0,50.0,,,,,,1.0,3.0,,,,,1.0,1.0,,1.0,,,,-0.03,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,
14015564,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,14.0,10.0,,,0.0,2.0,2.0,8.0,12.0,6.0,3.0,,,90.0,33.0,6.8,12.0,285.39664069405,24.0,196.245,40.635,,"{'original': 6.8, 'alternative': 7.1}",1,-0.41,0.52,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,71.42857142857143,,,66.66666666666666,,1.0,,4.0,8.0,2.0,3.0,2.0,,,,,,141.26184036856,6.0,,-0.27,1.0,1.0,1.0,,,,,6.0,,,,,,,,
14015564,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,21.0,14.0,,,0.0,7.0,10.0,7.0,11.0,3.0,3.0,,,90.0,33.0,6.2,12.0,136.98803190985,13.0,82.11,26.775,,"{'original': 6.2, 'alternative': 6.5}",0,-0.35,0.2,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,2,3,66.66666666666666,,,50.0,,,,7.0,5.0,1.0,2.0,1.0,,1.0,,,,46.115392146086,2.0,,,4.0,3.0,,,1.0,1.0,,1.0,,1.0,,,,,,
14015564,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,23.0,20.0,4.0,4.0,0.0,9.0,11.0,11.0,12.0,3.0,2.0,,,45.0,33.0,6.7,12.0,124.8332025425,13.0,61.74,20.79,,"{'original': 6.7, 'alternative': 6.3}",0,0.31,0.08,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,0,6,86.95652173913044,100.0,,,,3.0,,8.0,,,4.0,,,,,,,41.865853432142,2.0,1.0,,2.0,,,,2.0,,,,,,,,,,,
14015564,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,18.0,13.0,,,0.0,6.0,7.0,7.0,11.0,1.0,,,,82.0,38.0,6.5,14.0,156.75801317549,11.0,95.76,28.98,,"{'original': 6.5, 'alternative': 6.1}",0,0.17,0.08,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,4,9,72.22222222222221,,50.0,,,2.0,1.0,9.0,4.0,1.0,7.0,,,,2.0,2.0,,106.43882403927,4.0,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,
