match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,errorLeadToAGoal,wonContest,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,goals,blockedScoringAttempt,unsuccessfulTouch,totalOffside,punches
14015581,home,25737,FK Radnički Niš,987906,Oleg Nikiforenko,oleg-nikiforenko,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,1384025,Lamonth Rochester,lamonth-rochester,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,21.0,13.0,7.0,,0.0,13.0,17.0,,4.0,2.0,9.0,,,,1.0,1.0,90.0,30.0,5.8,8.0,47.321433376824,6.0,15.704588238424,0.0,,"{'original': 5.8, 'alternative': 6}",0,0.02,0.01,-0.18,-0.66,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,61.904761904761905,,,,100.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
14015581,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,37.0,35.0,1.0,1.0,0.0,22.0,22.0,13.0,15.0,5.0,3.0,,,,,,69.0,57.0,6.5,3.0,73.730399148329,10.0,39.27272218262,0.0,,"{'original': 6.5, 'alternative': 6.9}",0,0.23,0.03,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,94.5945945945946,100.0,,,,,,,4.0,3.0,,,1.0,2.0,2.0,2.0,1.0,3.0,,,,,,,,3.0,,,,,,,,
14015581,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,78.0,67.0,14.0,6.0,0.0,44.0,47.0,23.0,31.0,,4.0,,,,,,90.0,85.0,7.0,13.0,358.65251873786,38.0,150.02940792671,2.0,,"{'original': 7, 'alternative': 6.7}",1,0.43,0.21,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,85.8974358974359,42.857142857142854,,,,,1.0,2.0,2.0,3.0,,1.0,,,1.0,1.0,,,1.0,,21.729429440875,48.080950533149,-0.37,,,1.0,,,,,,,,
14015581,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,False,82.0,73.0,9.0,2.0,0.0,44.0,48.0,29.0,34.0,4.0,2.0,,,,,,90.0,88.0,6.7,10.0,285.33694892268,33.0,156.78588853457,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.22,0.14,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,89.02439024390245,22.22222222222222,,,,,,4.0,1.0,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,
14015581,away,43981,FK Radnički 1923,804844,Bojan Kovačević,bojan-kovacevic,D,34,False,44.0,38.0,3.0,2.0,0.0,16.0,18.0,22.0,26.0,,3.0,,,,,,90.0,67.0,7.0,12.0,122.55793455038,18.0,48.144627710517,0.0,,"{'original': 7, 'alternative': 7.2}",0,0.02,0.09,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,86.36363636363636,66.66666666666666,33.33333333333333,100.0,,3.0,,,2.0,4.0,1.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,,,,1.0,2.0,
14015581,away,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,False,44.0,32.0,6.0,3.0,0.0,17.0,21.0,15.0,23.0,1.0,3.0,,,,,,90.0,53.0,6.4,13.0,197.65145400002,23.0,24.950982695786,0.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.07,0.04,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,72.72727272727273,50.0,,,,,1.0,,3.0,3.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,0.01,,,,,,,,1.0,,,
14015581,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,38.0,35.0,1.0,,0.0,13.0,15.0,22.0,23.0,,1.0,,,,,,90.0,61.0,6.9,9.0,162.10926288063,22.0,13.450099919171,1.0,,"{'original': 6.9, 'alternative': 7.2}",3,0.19,0.24,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,10,3,92.10526315789474,,,66.66666666666666,,1.0,3.0,,6.0,10.0,,1.0,3.0,1.0,2.0,1.0,6.0,2.0,2.0,,22.215491702059,22.321055620199,-0.48,,2.0,2.0,,,,,1.0,3.0,,
14015581,away,43981,FK Radnički 1923,801236,Evandro,evandro,M,9,False,13.0,10.0,1.0,1.0,0.0,5.0,6.0,5.0,7.0,1.0,,,,,,,73.0,31.0,6.0,9.0,67.289653725581,9.0,8.8451105065294,1.0,,"{'original': 6, 'alternative': 6.6}",2,-0.12,0.07,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,76.92307692307693,100.0,50.0,,,2.0,3.0,1.0,6.0,3.0,,1.0,,,1.0,1.0,1.0,2.0,,,7.6305841146497,7.7074768893588,-0.55,,,,1.0,,1.0,,1.0,2.0,,
