match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,keyPass,bigChanceMissed,shotOffTarget,blockedScoringAttempt,penaltyWon,hitWoodwork
14147359,away,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,54.0,48.0,4.0,3.0,0.0,27.0,28.0,20.0,25.0,0.0,0.0,2.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,80.0,72.0,7.1,8.0,0.0,0.01,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,88.88888888888889,75.0,,,,4.0,1.0,1.0,,,,,
14147359,away,464804,FK Jezero,1218103,Hiroki Harada,hiroki-harada,M,10,False,44.0,37.0,5.0,3.0,0.0,19.0,20.0,18.0,24.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,71.0,55.0,7.1,8.0,0.13,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,84.0909090909091,60.0,50.0,100.0,,1.0,,,,1.0,,,1.0
14147359,away,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,15.0,13.0,2.0,1.0,0.0,4.0,5.0,8.0,9.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,71.0,28.0,6.4,6.0,0.0,0.01,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,86.66666666666667,50.0,,25.0,,1.0,,1.0,,,,,
14147359,away,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,M,45,False,38.0,32.0,1.0,0.0,0.0,16.0,16.0,16.0,21.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,,,,,,84.0,51.0,7.1,7.0,0.08,0.07,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,84.21052631578947,0.0,0.0,,,2.0,,1.0,,2.0,,,
14147359,away,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,13.0,10.0,0.0,0.0,0.0,5.0,6.0,5.0,7.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,,,,,,,90.0,22.0,6.9,6.0,0.04,0.13,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,76.92307692307693,,,,,,1.0,1.0,,,,,
14147359,away,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,True,24.0,20.0,2.0,1.0,0.0,9.0,10.0,11.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,19.0,32.0,6.6,5.0,0.0,0.04,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,83.33333333333334,50.0,50.0,,,,1.0,1.0,,,,,
14147359,away,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,True,5.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,19.0,8.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,100.0,,0.0,,1.0,,,,,,,
14147359,away,24312,FK Jezero,1190522,Imran Redžepagić,imran-redzepagic,M,16,True,6.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,10.0,7.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,66.66666666666666,,0.0,,,,1.0,,,,,,
14147359,away,24312,FK Jezero,196634,Ognjen Rolović,ognjen-rolovic,M,19,True,6.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,10.0,8.0,6.5,4.0,0.07,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,66.66666666666666,0.0,100.0,,,,1.0,,,,,,
14147359,away,24312,FK Jezero,1035785,Edis Redžepagić,edis-redzepagic,M,9,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,,6.3,0.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,,,,,
14147359,away,24312,FK Jezero,1391888,Šaban Kolić,saban-kolic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,away,24312,FK Jezero,1035787,Nikola Jovićević,nikola-jovicevic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,away,24312,FK Jezero,1648555,Meldin Kojić,meldin-kojic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,away,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
