match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,penaltyConceded,blockedScoringAttempt,shotOffTarget,hitWoodwork,penaltyWon
14147361,away,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,20.0,17.0,9.0,6.0,0.0,11.0,12.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,3.0,0.0,90.0,25.0,6.0,7.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,85.0,66.66666666666666,,,0.0,,,,,,,
14147361,away,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,False,28.0,14.0,8.0,4.0,0.0,5.0,10.0,8.0,14.0,1.0,0.0,0.0,1.0,13.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,42.0,6.4,21.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,4,13,50.0,50.0,0.0,,,,,,,,,1.0
14147361,away,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,23.0,17.0,6.0,4.0,0.0,10.0,13.0,6.0,8.0,0.0,0.0,3.0,2.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,17.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,,,,,,90.0,31.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,5,5,73.91304347826086,66.66666666666666,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,32.0,25.0,9.0,4.0,0.0,19.0,21.0,6.0,11.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,41.0,6.7,11.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,78.125,44.44444444444444,,,,1.0,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,42.0,29.0,2.0,2.0,0.0,17.0,18.0,12.0,22.0,4.0,0.0,1.0,2.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,58.0,6.8,24.0,0.0,0.02,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,6,5,69.04761904761905,100.0,0.0,100.0,,1.0,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,21.0,10.0,4.0,1.0,0.0,2.0,4.0,6.0,15.0,0.0,0.0,3.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,86.0,35.0,6.5,16.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,2,10,47.61904761904761,25.0,,0.0,,,1.0,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,45.0,39.0,6.0,4.0,0.0,19.0,20.0,16.0,20.0,0.0,0.0,0.0,3.0,8.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,90.0,63.0,6.9,11.0,0.05,0.07,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,6,8,86.66666666666667,66.66666666666666,,,,1.0,,,1.0,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,M,27,False,13.0,1.0,0.0,0.0,0.0,,3.0,1.0,9.0,4.0,0.0,4.0,0.0,16.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,77.0,27.0,6.3,12.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,4,18,6,12,7.6923076923076925,,0.0,50.0,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,36.0,24.0,4.0,1.0,0.0,8.0,9.0,16.0,27.0,3.0,2.0,3.0,0.0,17.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,,3.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,86.0,56.0,6.7,18.0,0.16,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,3,18,4,14,66.66666666666666,25.0,66.66666666666666,75.0,,,,,,,,
14147361,away,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,False,12.0,8.0,0.0,0.0,0.0,2.0,3.0,5.0,8.0,0.0,0.0,3.0,0.0,16.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,69.0,29.0,6.6,8.0,0.15,0.02,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,3,13,66.66666666666666,,,50.0,,1.0,2.0,,,1.0,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,16.0,11.0,2.0,1.0,0.0,3.0,3.0,7.0,12.0,1.0,0.0,13.0,3.0,19.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,,,,,,,90.0,28.0,7.0,9.0,0.76,0.0,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,16,10,4,6,68.75,50.0,0.0,100.0,,,1.0,,,2.0,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,True,13.0,9.0,0.0,0.0,0.0,3.0,5.0,5.0,7.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,21.0,20.0,6.4,6.0,0.02,0.0,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,69.23076923076923,,,100.0,,,,,,2.0,,
14147361,away,282802,FK Jedinstvo Bijelo Polje,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,True,3.0,2.0,1.0,0.0,0.0,2.0,3.0,,,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,13.0,5.0,6.2,2.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,66.66666666666666,0.0,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,M,9,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,4.0,6.2,1.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,100.0,,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,M,4,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,1.0,6.3,0.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,808563,Momčilo Dulović,momcilo-dulovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147361,away,6220,FK Jedinstvo Bijelo Polje,1005748,Veljko Radenović,veljko-radenovic,M,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147361,away,6219,FK Jedinstvo Bijelo Polje,2217779,Yonathan Rodriguez,yonathan-rodriguez,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
