match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialLost,aerialWon,clearanceOffLine,outfielderBlock,totalTackle,wonTackle,penaltyConceded,bigChanceCreated,shotOffTarget,interceptionWon,challengeLost,hitWoodwork,blockedScoringAttempt,bigChanceMissed,goals,goodHighClaim,penaltyWon,penaltyMiss
14015477,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,45.0,36.0,4.0,2.0,0.0,24.0,26.0,12.0,19.0,1.0,8.0,,,,,,90.0,55.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.03,0.11,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,80.0,50.0,,100.0,,,,2.0,6.0,,1.0,1.0,,2.0,,2.0,,,,3.0,,,2.0,1.0,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,28.0,20.0,2.0,1.0,0.0,8.0,9.0,12.0,19.0,,2.0,,,,,,82.0,35.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.3}",0,0.05,0.11,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,71.42857142857143,50.0,,,,,,5.0,4.0,1.0,1.0,,,1.0,2.0,1.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,
14015477,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,13.0,7.0,,,0.0,1.0,3.0,6.0,10.0,2.0,,,,,,,45.0,21.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.26,0.27,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,9,3,1,2,53.84615384615385,,,,,,,8.0,4.0,,,,,2.0,1.0,1.0,1.0,-0.4,6.0,3.0,,,,,,,1.0,,1.0,,,1.0,,,,
14015477,away,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,F,25,False,12.0,9.0,1.0,,0.0,3.0,3.0,6.0,9.0,,2.0,,,,,,90.0,35.0,6.4,16.0,,"{'original': 6.4, 'alternative': 6.6}",1,0.01,0.31,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,75.0,,20.0,,,5.0,1.0,6.0,3.0,1.0,2.0,,1.0,5.0,3.0,1.0,1.0,-0.33,1.0,,,,,,,1.0,,,1.0,,,,,,,
14015477,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,18.0,11.0,,,0.0,6.0,7.0,5.0,11.0,,,,,,,,45.0,28.0,6.7,12.0,,"{'original': 6.7, 'alternative': 6.9}",1,-0.27,0.12,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,2,1,61.111111111111114,,,,,,,3.0,8.0,,1.0,,,4.0,2.0,,1.0,-0.29,2.0,6.0,,,,,,,1.0,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,12.0,8.0,1.0,,0.0,2.0,3.0,6.0,9.0,,2.0,,,,,,45.0,18.0,7.3,5.0,,"{'original': 7.3, 'alternative': 7}",0,-0.08,0.36,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,66.66666666666666,,,,,,,1.0,2.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,1.0,
14015477,away,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,15.0,13.0,2.0,1.0,0.0,8.0,9.0,5.0,6.0,,3.0,,,,,,45.0,17.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.09,0.11,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,86.66666666666667,50.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,21.0,14.0,5.0,3.0,0.0,11.0,16.0,3.0,5.0,3.0,3.0,,,,,,45.0,34.0,6.9,10.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.08,0.09,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,66.66666666666666,60.0,,,,,,3.0,3.0,,,,,2.0,1.0,3.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,
14015477,away,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,7.0,3.0,,,0.0,2.0,4.0,1.0,3.0,,3.0,,,,,,8.0,9.0,5.8,4.0,,"{'original': 5.8, 'alternative': 5.9}",1,0.02,0.0,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,42.857142857142854,,,,,,,,1.0,,,,1.0,,,,,-0.89,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0
14015477,away,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,D,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,D,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015477,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
