match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,totalTackle,errorLeadToAShot,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,interceptionWon,unsuccessfulTouch,fouls,aerialWon,dispossessed,bigChanceCreated,wonTackle,accurateCross,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,shotValueNormalized,shotOffTarget,bigChanceMissed,wasFouled,penaltyWon,goals,penaltyConceded,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper
14015576,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,home,5150,FK Vojvodina,1000424,Vlada Novevski,vlada-novevski,M,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,29.0,23.0,11.0,5.0,0.0,21.0,24.0,2.0,9.0,6.0,6.0,,90.0,43.0,7.5,6.0,50.766201980345,8.0,0.93916596661627,0.0,1.2367,"{'original': 7.5, 'alternative': 6.9}",0,0.0,0.01,-0.64,0.76,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,79.3103448275862,45.45454545454545,,,100.0,2.0,5.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0
14015576,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,D,17,False,29.0,19.0,5.0,3.0,0.0,8.0,10.0,3.0,1.0,,,,71.0,48.0,5.8,15.0,142.03637219575,14.0,46.159005600938,1.0,,"{'original': 5.8, 'alternative': 6.6}",0,0.08,-0.02,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,65.51724137931035,60.0,,,,11.0,19.0,3.0,2.0,1.0,1.0,,1.0,,,21.46146315873,24.675374789454,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,48.0,41.0,6.0,1.0,0.0,30.0,33.0,4.0,5.0,,,,90.0,60.0,5.7,9.0,337.12769983063,36.0,138.72560886237,0.0,,"{'original': 5.7, 'alternative': 6}",1,0.2,0.19,-0.8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,85.41666666666666,16.666666666666664,,,,11.0,15.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,,2.0,1.0,2.0,1.0,,,,,,,1.0,,-0.06,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,18.0,16.0,1.0,,0.0,14.0,15.0,1.0,1.0,,,,45.0,26.0,6.0,5.0,112.06508642177,12.0,1.9636934045687,0.0,,"{'original': 6, 'alternative': 6.2}",0,0.01,0.04,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,88.88888888888889,,,,,2.0,3.0,,3.0,3.0,,,,2.0,,,,1.0,2.0,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,
14015576,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,33.0,27.0,5.0,1.0,0.0,24.0,27.0,5.0,3.0,,,,90.0,44.0,5.8,7.0,135.45330957572,21.0,-23.116171768964,0.0,,"{'original': 5.8, 'alternative': 6.2}",0,0.11,-0.01,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,81.81818181818183,20.0,,,,3.0,6.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,33.0,25.0,4.0,2.0,0.0,12.0,14.0,1.0,3.0,,,,90.0,51.0,4.9,16.0,250.27186493721,27.0,113.88335183462,3.0,,"{'original': 4.9, 'alternative': 5.7}",0,0.2,0.15,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,75.75757575757575,50.0,33.33333333333333,,,13.0,19.0,3.0,1.0,,,,,,,29.287108758075,91.160964040658,1.0,,4.0,2.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,
14015576,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,38.0,35.0,,,0.0,23.0,24.0,,3.0,,,,81.0,45.0,6.0,5.0,144.3346335793,20.0,-0.89811544202004,0.0,,"{'original': 6, 'alternative': 6.3}",2,-0.09,0.06,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,92.10526315789474,,,,,12.0,14.0,,4.0,1.0,1.0,,,1.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,-0.02,2.0,,,,,,,,
14015576,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,13.0,9.0,,,0.0,5.0,6.0,2.0,,,,,45.0,21.0,6.3,6.0,29.660076484362,6.0,2.7927194195683,0.0,,"{'original': 6.3, 'alternative': 6.3}",1,-0.09,-0.09,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,69.23076923076923,,,,,4.0,7.0,,2.0,2.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,-0.25,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,20.0,13.0,,,0.0,3.0,4.0,1.0,3.0,,,,90.0,35.0,6.2,12.0,152.25390592056,16.0,59.28522080156,2.0,,"{'original': 6.2, 'alternative': 6.3}",1,-0.1,0.2,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,65.0,,,100.0,,10.0,16.0,1.0,3.0,5.0,1.0,1.0,,3.0,,11.201773417524,24.413308317371,,1.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,-0.24,1.0,,1.0,,,,,,
14015576,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,False,4.0,1.0,,,0.0,1.0,2.0,,3.0,,,,45.0,14.0,6.3,7.0,40.722213826502,4.0,39.174792370438,1.0,,"{'original': 6.3, 'alternative': 6}",1,-0.02,0.14,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,25.0,,,,,,2.0,,5.0,2.0,,1.0,,2.0,,25.582234453668,26.391693314375,,1.0,,1.0,1.0,,2.0,,1.0,,,,1.0,,-0.27,,1.0,,,,,,,
