match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,dribbleValueNormalized,aerialWon,dispossessed,bigChanceCreated,keyPass,blockedScoringAttempt,shotValueNormalized,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,shotOffTarget
14015490,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,18.0,10.0,2.0,,0.0,2.0,3.0,8.0,15.0,3.0,,,,58.0,34.0,7.3,15.0,,"{'original': 7.3, 'alternative': 6.8}",1,0.47,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,55.55555555555556,,33.33333333333333,50.0,,3.0,1.0,3.0,6.0,2.0,,2.0,1.0,1.0,,1.0,,,2.0,1.0,,0.34,,2.0,,3.0,1.0,-0.2,,,,,,,,
14015490,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,14.0,14.0,1.0,1.0,0.0,5.0,5.0,9.0,9.0,2.0,,,,32.0,16.0,6.7,,,"{'original': 6.7, 'alternative': 6.8}",1,0.19,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,100.0,,,,,,,,1.0,,,,,,,,,,1.0,,-0.06,,,,,,-0.55,1.0,,1.0,,,,,
14015490,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,9.0,7.0,,,1.0,2.0,2.0,5.0,7.0,,,,,32.0,17.0,9.1,6.0,,"{'original': 9.1, 'alternative': 8.4}",2,0.58,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,77.77777777777779,,,100.0,,,,,1.0,3.0,,1.0,1.0,,,,,,3.0,1.0,,0.4,1.0,1.0,2.0,2.0,,0.53,2.0,1.0,,1.0,,,,
14015490,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,,,12.0,4.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.02,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,,,,,,,,2.0,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,2.0,2.0,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
