match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,interceptionWon,blockedScoringAttempt,keyPass,savedShotsFromInsideTheBox
14147371,away,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,46.0,38.0,4.0,3.0,0.0,20.0,26.0,18.0,20.0,0.0,0.0,4.0,4.0,12.0,9.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,16.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,,,,,,90.0,58.0,7.1,10.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,8,13,5,8,82.6086956521739,75.0,,100.0,,,,2.0,,,
14147371,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,M,77,False,31.0,20.0,5.0,0.0,0.0,9.0,11.0,11.0,20.0,1.0,0.0,2.0,2.0,14.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,,,,,,90.0,49.0,6.3,17.0,0.0,0.08,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,4,20,8,12,64.51612903225806,0.0,0.0,66.66666666666666,,,,,,2.0,
14147371,away,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,39.0,28.0,8.0,3.0,0.0,12.0,16.0,13.0,19.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,65.0,49.0,6.9,10.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,71.7948717948718,37.5,,100.0,,,,3.0,,,
14147371,away,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,M,4,False,24.0,15.0,3.0,1.0,0.0,7.0,11.0,6.0,10.0,0.0,0.0,6.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,46.0,33.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,8,6,2,4,62.5,33.33333333333333,,,,1.0,,2.0,,,
14147371,away,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,M,13,False,38.0,21.0,15.0,6.0,0.0,11.0,15.0,10.0,23.0,1.0,0.0,0.0,0.0,10.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,65.0,61.0,6.6,19.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,6,10,55.26315789473685,40.0,0.0,100.0,,1.0,,1.0,,,
14147371,away,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,15.0,10.0,0.0,0.0,0.0,4.0,4.0,6.0,11.0,0.0,0.0,5.0,0.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,28.0,6.3,11.0,0.23,0.0,"{'original': 6.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,3,7,66.66666666666666,,,,,1.0,1.0,,1.0,,
14147371,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,31.0,17.0,2.0,0.0,0.0,8.0,11.0,9.0,18.0,0.0,0.0,3.0,4.0,12.0,9.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,47.0,6.7,19.0,0.0,0.01,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,7,14,5,9,54.83870967741935,0.0,,100.0,,1.0,,1.0,,1.0,
14147371,away,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,F,7,False,15.0,8.0,1.0,0.0,0.0,3.0,3.0,5.0,12.0,4.0,0.0,1.0,3.0,10.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,,,,,,90.0,38.0,7.2,11.0,0.07,0.03,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,8,9,53.333333333333336,0.0,0.0,100.0,,3.0,1.0,1.0,1.0,1.0,
14147371,away,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,True,21.0,15.0,3.0,1.0,0.0,5.0,6.0,9.0,14.0,1.0,0.0,4.0,1.0,11.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,,,,,,44.0,33.0,6.9,8.0,0.01,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,5,7,71.42857142857143,33.33333333333333,0.0,100.0,,,,2.0,1.0,,
14147371,away,37956,FK Arsenal Tivat,1163504,David Sim,david-sim,M,17,True,12.0,7.0,0.0,0.0,0.0,,,7.0,12.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,17.0,6.8,6.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,58.333333333333336,,50.0,100.0,,,,,,,
14147371,away,37956,FK Arsenal Tivat,205970,Julian Montenegro,julian-montenegro,M,11,True,8.0,7.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,13.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,87.5,0.0,,33.33333333333333,,,,,,,
14147371,away,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,5.0,1.0,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,
14147371,away,37956,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147371,away,37956,FK Arsenal Tivat,1799087,Mihailo Živaljević,mihailo-zivaljevic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147371,away,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147371,away,37956,FK Arsenal Tivat,2296517,Marko Telesmanić,marko-telesmanic,F,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147371,away,37956,FK Arsenal Tivat,2210662,Vasilije Kašćelan,vasilije-kascelan,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
