match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceMissed
14147310,away,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,False,15.0,13.0,9.0,7.0,0.0,6.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,90.0,19.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.66666666666667,77.77777777777779,,,,,,2.0,,,,
14147310,away,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,False,29.0,14.0,7.0,1.0,0.0,3.0,5.0,10.0,23.0,5.0,2.0,0.0,1.0,2.0,8.0,0.0,5.0,5.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,65.0,39.0,7.3,15.0,0.07,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,7,2,48.275862068965516,14.285714285714285,40.0,100.0,,,,1.0,,,,
14147310,away,6219,FK Jedinstvo Bijelo Polje,808563,Momčilo Dulović,momcilo-dulovic,D,5,False,35.0,24.0,10.0,4.0,0.0,16.0,17.0,8.0,18.0,0.0,0.0,1.0,6.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,42.0,6.3,11.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,7,2,0,2,68.57142857142857,40.0,,,,,,,,,,
14147310,away,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,53.0,41.0,7.0,2.0,0.0,24.0,28.0,13.0,18.0,0.0,0.0,1.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,,,,,,,90.0,65.0,6.5,20.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,77.35849056603774,28.57142857142857,,,,,,2.0,,,,
14147310,away,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,False,22.0,15.0,5.0,1.0,0.0,,2.0,15.0,20.0,2.0,1.0,2.0,2.0,10.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,80.0,35.0,6.7,8.0,0.0,0.53,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,3,8,68.18181818181817,20.0,50.0,100.0,,,1.0,2.0,1.0,,,
14147310,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,53.0,48.0,5.0,4.0,0.0,28.0,28.0,20.0,25.0,1.0,0.0,0.0,1.0,11.0,9.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,70.0,7.0,6.0,0.0,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,1,19,8,11,90.56603773584906,80.0,0.0,100.0,,1.0,,,,,,
14147310,away,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,25.0,14.0,4.0,0.0,0.0,6.0,9.0,8.0,16.0,2.0,1.0,0.0,0.0,7.0,9.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,72.0,46.0,7.3,13.0,0.04,0.0,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,9,7,56.00000000000001,0.0,50.0,100.0,,1.0,,1.0,,,2.0,
14147310,away,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,28.0,22.0,5.0,2.0,0.0,5.0,6.0,17.0,22.0,3.0,2.0,1.0,2.0,7.0,7.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,90.0,42.0,7.8,10.0,0.08,0.23,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,5,6,78.57142857142857,40.0,66.66666666666666,75.0,,,,,1.0,,,
14147310,away,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,15.0,10.0,1.0,0.0,0.0,4.0,5.0,6.0,10.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,65.0,23.0,6.3,7.0,0.28,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,1,7,66.66666666666666,0.0,,0.0,,,,,,1.0,,
14147310,away,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,False,21.0,13.0,2.0,0.0,0.0,4.0,5.0,8.0,15.0,3.0,2.0,4.0,4.0,10.0,12.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,41.0,7.2,12.0,0.32,0.14,"{'original': 7.2, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,8,14,8,6,61.904761904761905,0.0,66.66666666666666,83.33333333333334,,1.0,,1.0,1.0,3.0,1.0,
