match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,penaltyConceded,wasFouled,shotValueNormalized,aerialLost,bigChanceMissed,blockedScoringAttempt,dispossessed,totalContest,outfielderBlock,hitWoodwork,wonContest,onTargetScoringAttempt,goals,totalOffside,errorLeadToAShot,penaltyMiss,penaltyWon
14015408,home,241802,FK Novi Pazar,927295,Armin Đerlek,armin-djerlek,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,30.0,22.0,13.0,6.0,0.0,19.0,21.0,3.0,9.0,3.0,5.0,,1.0,,,2.0,,,,90.0,38.0,6.8,8.0,0.152,"{'original': 6.8, 'alternative': 6.6}",0,0.15,0.0,0.16,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,73.33333333333333,46.15384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,D,16,False,24.0,18.0,6.0,3.0,0.0,11.0,16.0,7.0,8.0,1.0,4.0,,,,,,,,,89.0,41.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.14,0.08,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,75.0,50.0,,,,1.0,,1.0,3.0,4.0,,,,2.0,1.0,,1.0,,,,1.0,0.0,1.0,,1.0,,1.0,,,,,,,,,
14015408,away,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,39.0,29.0,14.0,7.0,0.0,18.0,20.0,11.0,19.0,5.0,6.0,,,,,,,,,90.0,61.0,8.4,12.0,,"{'original': 8.4, 'alternative': 7.7}",0,0.31,0.21,0.9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,8,1,74.35897435897436,50.0,100.0,66.66666666666666,,1.0,1.0,1.0,3.0,9.0,,,3.0,2.0,1.0,,,,,,4.0,,2.0,,,,3.0,2.0,,2.0,,,,,,
14015408,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,26.0,21.0,3.0,1.0,0.0,17.0,18.0,4.0,8.0,9.0,2.0,,,,,,,,,90.0,42.0,7.2,7.0,,"{'original': 7.2, 'alternative': 6.9}",0,0.08,0.12,0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,80.76923076923077,33.33333333333333,,,,,,2.0,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,1.0,,
14015408,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,23.0,13.0,9.0,2.0,0.0,6.0,10.0,7.0,13.0,4.0,3.0,,,,,,,,,90.0,54.0,7.0,19.0,,"{'original': 7, 'alternative': 7}",2,0.17,0.43,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,56.52173913043478,22.22222222222222,,,,1.0,,1.0,5.0,8.0,,,,6.0,3.0,2.0,,1.0,,,1.0,-0.54,1.0,,1.0,,4.0,1.0,,,1.0,,1.0,,,
14015408,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,20.0,12.0,3.0,,0.0,9.0,10.0,3.0,10.0,4.0,4.0,,,,,,,,,90.0,42.0,6.1,14.0,,"{'original': 6.1, 'alternative': 7.3}",3,-0.08,0.06,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,60.0,,20.0,50.0,,5.0,1.0,2.0,3.0,4.0,1.0,,1.0,1.0,1.0,,,1.0,,,,-0.45,,1.0,,1.0,2.0,1.0,,1.0,3.0,1.0,,,1.0,
14015408,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,14.0,9.0,2.0,2.0,0.0,3.0,5.0,6.0,9.0,2.0,2.0,,,,,,,,,90.0,37.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.51,0.36,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,6,4,64.28571428571429,100.0,,33.33333333333333,,2.0,,,4.0,6.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,,,1.0,-0.31,,,,,3.0,,,1.0,1.0,,,,,
14015408,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,26.0,18.0,6.0,3.0,1.0,8.0,8.0,10.0,18.0,,7.0,,,,,,,,,64.0,41.0,7.1,15.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.3,0.24,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,69.23076923076923,50.0,33.33333333333333,,,3.0,1.0,,3.0,5.0,1.0,1.0,,5.0,3.0,3.0,1.0,2.0,1.0,,,-0.08,,,,,1.0,,,,,,,,,
14015408,away,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,M,11,False,23.0,21.0,,,0.0,10.0,10.0,11.0,13.0,2.0,4.0,,,,,,,,,89.0,41.0,6.1,9.0,,"{'original': 6.1, 'alternative': 6.4}",1,0.06,-1.0,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,4,6,91.30434782608695,,,,,,,1.0,10.0,5.0,,,1.0,1.0,1.0,3.0,2.0,,1.0,,3.0,-0.63,4.0,1.0,,2.0,2.0,,,,,,1.0,,,
