match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,bigChanceMissed,shotOffTarget,wasFouled,shotValueNormalized,keyPass,accurateCross,bigChanceCreated,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,hitWoodwork,goals,errorLeadToAShot,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
14015513,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,home,4499,FK Novi Pazar,1639816,Yakup Arda Kılıç,yakup-arda-kilic,F,27,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,47.0,36.0,21.0,11.0,0.0,33.0,34.0,3.0,13.0,12.0,4.0,6.0,90.0,64.0,7.9,11.0,0.2537,"{'original': 7.9, 'alternative': 8.1}",0,0.14,-0.04,-0.13,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.59574468085107,52.38095238095239,,,100.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,3.0,
14015513,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,35.0,23.0,6.0,1.0,0.0,17.0,22.0,6.0,13.0,2.0,,,90.0,54.0,6.3,17.0,,"{'original': 6.3, 'alternative': 6.3}",1,0.12,-0.01,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,65.71428571428571,16.666666666666664,50.0,,,2.0,2.0,3.0,3.0,1.0,3.0,,,,2.0,1.0,1.0,,1.0,1.0,-0.05,1.0,1.0,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,False,56.0,43.0,6.0,1.0,0.0,34.0,38.0,9.0,18.0,,,,90.0,67.0,6.6,13.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.06,0.03,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,76.78571428571429,16.666666666666664,,,,,4.0,1.0,4.0,,3.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,69.0,56.0,9.0,2.0,0.0,47.0,51.0,9.0,18.0,1.0,,,90.0,83.0,6.7,15.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.05,0.08,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,8,2,1,1,81.15942028985508,22.22222222222222,,,,,5.0,4.0,6.0,,5.0,1.0,,,1.0,,3.0,,,1.0,,,,,1.0,,,,,,,,,,,,,2.0
14015513,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,59.0,50.0,2.0,1.0,0.0,28.0,33.0,22.0,26.0,5.0,,,90.0,79.0,7.0,14.0,,"{'original': 7, 'alternative': 6.8}",0,0.24,0.12,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,84.7457627118644,50.0,33.33333333333333,,,3.0,5.0,3.0,6.0,,3.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,36.0,29.0,4.0,,0.0,14.0,15.0,15.0,21.0,4.0,,,90.0,46.0,6.3,9.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.02,0.09,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,80.55555555555556,,,,,,,5.0,2.0,,4.0,1.0,,,,1.0,2.0,,1.0,2.0,-0.05,,,,2.0,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,10.0,7.0,2.0,2.0,0.0,4.0,5.0,3.0,5.0,3.0,,,69.0,23.0,6.2,11.0,,"{'original': 6.2, 'alternative': 6.2}",1,-0.03,0.15,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,2,9,70.0,100.0,,25.0,,,,9.0,2.0,,,,,,3.0,4.0,,,,1.0,-0.04,1.0,,,2.0,4.0,1.0,1.0,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,22.0,18.0,1.0,,0.0,12.0,14.0,6.0,8.0,4.0,,,90.0,30.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.04,0.05,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,81.81818181818183,,,,,1.0,1.0,4.0,5.0,,,,1.0,1.0,2.0,1.0,3.0,1.0,,3.0,-0.15,,,,,,,1.0,,,,,,,,,,
14015513,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,20.0,16.0,,,0.0,8.0,9.0,8.0,11.0,2.0,,,69.0,29.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.9}",1,0.01,-0.53,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,80.0,,,,,,1.0,,2.0,,,,,,1.0,,,,,1.0,-0.14,,,,,,,1.0,,,,,,,,,,
