match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,interceptionWon,blockedScoringAttempt,shotOffTarget,keyPass,clearanceOffLine
14833029,away,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,False,12.0,10.0,8.0,6.0,0.0,6.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,14.0,6.9,7.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.33333333333334,75.0,,,0.0,,1.0,,,,
14833029,away,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,False,32.0,23.0,10.0,6.0,0.0,9.0,12.0,11.0,15.0,0.0,0.0,2.0,2.0,14.0,7.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,45.0,7.2,19.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,5,12,71.875,60.0,,66.66666666666666,,,3.0,,,,
14833029,away,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,False,31.0,21.0,13.0,5.0,0.0,12.0,14.0,9.0,16.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,38.0,6.9,12.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,67.74193548387096,38.46153846153847,,,,,1.0,,,,
14833029,away,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,44.0,33.0,10.0,4.0,0.0,20.0,24.0,13.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,52.0,7.9,12.0,0.13,0.0,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,75.0,40.0,,,,,1.0,,1.0,,1.0
14833029,away,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,41.0,25.0,10.0,0.0,0.0,13.0,17.0,9.0,21.0,2.0,0.0,1.0,3.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,50.0,6.8,21.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,4,13,60.97560975609756,0.0,0.0,,,,1.0,,,,
14833029,away,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,45.0,36.0,5.0,4.0,0.0,22.0,27.0,11.0,14.0,2.0,2.0,1.0,2.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,90.0,60.0,7.5,9.0,0.01,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,6,6,80.0,80.0,100.0,,,,5.0,,1.0,,
14833029,away,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,False,17.0,15.0,0.0,0.0,0.0,4.0,5.0,11.0,12.0,0.0,0.0,3.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,46.0,24.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,88.23529411764706,,,100.0,,,2.0,,,,
14833029,away,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,False,8.0,7.0,1.0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,12.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,46.0,21.0,6.6,3.0,0.03,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,3,11,87.5,100.0,,50.0,,1.0,1.0,,,,
14833029,away,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,False,13.0,7.0,2.0,1.0,0.0,4.0,5.0,3.0,7.0,0.0,0.0,2.0,1.0,11.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,90.0,30.0,6.9,7.0,0.17,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,6,9,53.84615384615385,50.0,,50.0,,1.0,,1.0,,,
14833029,away,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,False,9.0,6.0,0.0,0.0,0.0,4.0,4.0,2.0,5.0,1.0,0.0,2.0,3.0,15.0,8.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,67.0,25.0,6.4,8.0,0.03,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,5,18,5,13,66.66666666666666,,0.0,60.0,,3.0,,,1.0,,
14833029,away,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,F,11,False,21.0,12.0,1.0,0.0,0.0,6.0,7.0,6.0,14.0,3.0,1.0,14.0,6.0,23.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,,,,,90.0,36.0,7.1,28.0,0.03,0.4,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",34,20,14,5,9,57.14285714285714,0.0,33.33333333333333,100.0,,4.0,,,1.0,3.0,
14833029,away,36019,FK Mornar Bar,798005,Marko Vučić,marko-vucic,M,3,True,17.0,12.0,1.0,1.0,0.0,5.0,5.0,6.0,11.0,2.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44.0,20.0,6.6,7.0,0.0,0.03,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,0,5,70.58823529411765,100.0,0.0,,,,1.0,,,1.0,
14833029,away,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,9.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,2.0,1.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,44.0,25.0,6.5,10.0,0.26,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,4,8,66.66666666666666,,,,,2.0,,1.0,1.0,,
14833029,away,6219,FK Mornar Bar,1030476,Alden Škrijelj,alden-skrijelj,M,22,True,5.0,5.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,7.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,23.0,13.0,6.9,1.0,0.02,0.13,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,100.0,100.0,100.0,100.0,,,,1.0,,1.0,
14833029,away,7727,FK Mornar Bar,1961866,Lazar Zlatičanin,lazar-zlaticanin,M,31,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,,
14833029,away,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,
14833029,away,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,away,241802,FK Mornar Bar,1154328,Malić Mucević,malic-mucevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,away,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14833029,away,6219,FK Mornar Bar,2444992,Balsa Barovic,balsa-barovic,F,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
