match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,aerialWon,challengeLost,outfielderBlock,wasFouled,fouls,dispossessed,totalContest,wonContest,blockedScoringAttempt,shotValueNormalized,totalCross,accurateCross,onTargetScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotOffTarget,totalOffside,bigChanceMissed,lastManTackle,bigChanceCreated,hitWoodwork,goals,errorLeadToAShot
14015602,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,15.0,12.0,,,0.0,4.0,6.0,8.0,9.0,1.0,1.0,,,,,,90.0,24.0,6.7,7.0,35.000316657387,5.0,-2.5892097732996,0.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.36,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,0,6,80.0,,,,,1.0,7.0,3.0,,,,2.0,3.0,,,,4.0,1.0,1.0,,1.0,-0.18,,,,,,1.0,,,,,,,,
14015602,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,True,11.0,7.0,2.0,1.0,0.0,1.0,2.0,6.0,9.0,,3.0,,,,,,29.0,21.0,6.2,11.0,73.531723683055,10.0,32.546959389842,0.0,,"{'original': 6.2, 'alternative': 6.4}",1,0.14,0.1,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,63.63636363636363,50.0,33.33333333333333,,,1.0,5.0,,1.0,,,2.0,,,,,2.0,2.0,,,,-0.03,3.0,1.0,,,,,1.0,,,,,,,
14015602,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,8.0,6.0,2.0,1.0,0.0,2.0,2.0,4.0,6.0,,1.0,,,,,,20.0,11.0,6.3,3.0,32.821217211556,3.0,0.77277772967609,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.13,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,75.0,50.0,,,,2.0,5.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,0.0,,,,0.0,1.0,1.0,,,,,,10.0,3.0,7.4,1.0,10.33394426151,1.0,4.5569622460326,0.0,,"{'original': 7.4, 'alternative': 6.5}",0,-0.01,0.0,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,5.0,4.0,,,0.0,1.0,2.0,3.0,3.0,,3.0,,,,,,10.0,7.0,6.5,2.0,12.103657534395,3.0,6.0880725898892,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.03,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,80.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1146073,Bogdan Marinkovic,bogdan-marinkovic,G,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,263765,FK Radnički 1923,1981810,Dimitrije Nikolic,dimitrije-nikolic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1924383,Srđan Borovina,srdjan-borovina,F,40,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,40.0,34.0,10.0,4.0,0.0,31.0,33.0,3.0,7.0,,10.0,,1.0,,,,90.0,43.0,7.7,6.0,100.21030532643,15.0,9.6311451611556,0.0,0.0387,"{'original': 7.7, 'alternative': 6.9}",0,0.16,0.02,0.23,0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,away,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,46.0,44.0,2.0,,0.0,30.0,30.0,14.0,16.0,1.0,4.0,,,,,,73.0,55.0,6.9,5.0,145.14574598064,21.0,68.8297327023,1.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.01,0.22,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,95.65217391304348,,,,,,2.0,3.0,,,,2.0,1.0,,,2.0,2.0,,,,,,1.0,,,30.398364997511,30.773674220021,,,,,,,,,
14015602,away,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,73.0,67.0,6.0,3.0,0.0,62.0,63.0,5.0,10.0,2.0,4.0,,,,,,90.0,80.0,8.7,6.0,269.07044028585,39.0,84.895376543202,0.0,,"{'original': 8.7, 'alternative': 7.3}",1,0.25,0.13,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,91.78082191780823,50.0,,,,2.0,3.0,4.0,1.0,,,,3.0,,1.0,1.0,1.0,,,,,0.18,,,1.0,,,,,,1.0,,,,,
14015602,away,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,False,80.0,70.0,8.0,3.0,0.0,47.0,50.0,23.0,30.0,5.0,5.0,,,,,,90.0,93.0,7.6,11.0,314.05114512139,35.0,129.37327311702,3.0,,"{'original': 7.6, 'alternative': 7.4}",0,0.24,0.33,0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,87.5,37.5,,,,1.0,3.0,7.0,,2.0,1.0,,3.0,,,2.0,2.0,,,,,,1.0,,,32.040732362743,77.393548963573,1.0,,,,1.0,,,,
14015602,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,False,51.0,39.0,7.0,3.0,0.0,14.0,17.0,25.0,34.0,1.0,6.0,,,,,,90.0,96.0,7.4,32.0,234.56819225481,27.0,122.12654603254,3.0,,"{'original': 7.4, 'alternative': 7.9}",2,0.33,0.4,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,11,6,76.47058823529412,42.857142857142854,50.0,87.5,,1.0,7.0,11.0,,4.0,2.0,7.0,,2.0,,,1.0,2.0,8.0,7.0,,-0.53,2.0,1.0,,29.708494276438,64.908824348408,4.0,2.0,,,,1.0,,,
14015602,away,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,False,68.0,63.0,2.0,2.0,0.0,20.0,21.0,43.0,47.0,,9.0,,,,,,90.0,79.0,7.6,7.0,284.36413892468,42.0,132.72694277319,2.0,,"{'original': 7.6, 'alternative': 7.1}",0,0.19,0.37,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,92.64705882352942,100.0,,,,2.0,5.0,6.0,2.0,1.0,,,1.0,2.0,,4.0,,1.0,,,,,1.0,,,47.303174466092,61.755876329937,,,,,,,,,
