match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,hitWoodwork,blockedScoringAttempt,keyPass
15280979,away,5143,FK Budućnost Podgorica,1005619,Filip Domazetović,filip-domazetovic,G,21,False,23.0,18.0,7.0,3.0,0.0,15.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90.0,27.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.26086956521739,42.857142857142854,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,16.0,11.0,5.0,2.0,0.0,3.0,5.0,8.0,11.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,34.0,24.0,6.8,9.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,68.75,40.0,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,False,24.0,21.0,5.0,4.0,0.0,12.0,14.0,9.0,10.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,58.0,28.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,87.5,80.0,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,959779,Miloš Drinčić,milos-drincic,D,70,False,48.0,41.0,7.0,5.0,0.0,25.0,28.0,15.0,19.0,0.0,0.0,5.0,2.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,81.0,55.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,7,11,3,8,85.41666666666666,71.42857142857143,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,889448,Stefan Hajdin,stefan-hajdin,D,3,False,61.0,41.0,14.0,5.0,0.0,15.0,19.0,25.0,39.0,3.0,1.0,5.0,2.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,66.0,6.8,21.0,0.02,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,2,3,67.21311475409836,35.714285714285715,33.33333333333333,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,882000,Srđan Krstović,srdan-krstovic,M,40,False,63.0,51.0,8.0,5.0,0.0,22.0,27.0,29.0,35.0,0.0,0.0,4.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,76.0,6.9,15.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,6,7,80.95238095238095,62.5,,,,1.0,,,,1.0
15280979,away,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,False,20.0,7.0,0.0,0.0,0.0,,3.0,7.0,17.0,2.0,0.0,3.0,4.0,11.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,90.0,37.0,7.2,17.0,0.1,0.06,"{'original': 7.2, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,7,14,6,8,35.0,,0.0,100.0,,,2.0,,1.0,1.0
15280979,away,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,37.0,30.0,6.0,3.0,0.0,8.0,9.0,22.0,28.0,3.0,2.0,2.0,0.0,10.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,81.0,55.0,7.2,6.0,0.27,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,8,8,81.08108108108108,50.0,66.66666666666666,100.0,,,1.0,,1.0,
15280979,away,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,23.0,15.0,3.0,3.0,0.0,4.0,5.0,11.0,17.0,1.0,0.0,0.0,3.0,6.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,58.0,31.0,7.2,13.0,0.0,0.31,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,65.21739130434783,100.0,0.0,50.0,,,,,,2.0
15280979,away,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,M,11,False,26.0,15.0,1.0,0.0,0.0,3.0,3.0,12.0,23.0,5.0,0.0,2.0,3.0,16.0,11.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,90.0,53.0,6.9,15.0,0.13,0.02,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,5,22,8,14,57.692307692307686,0.0,0.0,83.33333333333334,,3.0,2.0,,,2.0
15280979,away,5143,FK Budućnost Podgorica,1086387,Nemanja Nikolić,nemanja-nikolic,F,9,False,19.0,11.0,3.0,1.0,0.0,2.0,2.0,9.0,17.0,1.0,0.0,5.0,4.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,90.0,33.0,6.4,18.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,9,12,2,10,57.89473684210527,33.33333333333333,0.0,,,3.0,,,,
15280979,away,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,D,17,True,37.0,28.0,3.0,1.0,0.0,8.0,10.0,20.0,27.0,4.0,0.0,1.0,3.0,7.0,10.0,0.0,4.0,4.0,1.0,0.0,4.0,0.0,,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,56.0,56.0,7.0,15.0,0.06,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,7,6,75.67567567567568,33.33333333333333,0.0,100.0,,2.0,,,1.0,
15280979,away,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,True,34.0,31.0,5.0,4.0,0.0,18.0,19.0,13.0,14.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,32.0,45.0,6.9,4.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,91.17647058823529,80.0,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,1005606,Nikola Janjić,nikola-janjic,M,30,True,8.0,8.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,32.0,12.0,6.5,1.0,0.01,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,100.0,0.0,,,1.0,,1.0,
15280979,away,5143,FK Budućnost Podgorica,188997,Miloš Milović,milos-milovic,D,15,True,6.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,9.0,9.0,6.8,4.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,50.0,0.0,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,1939640,Stefan Đukanović,stefan-dukanovic,M,34,True,5.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.0,9.0,6.8,0.0,0.01,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,1.0,,1.0,
15280979,away,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,1000577,Andrej Pupović,andrej-pupovic,D,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,841144,Vasilije Terzić,vasilije-terzic,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280979,away,5143,FK Budućnost Podgorica,858877,Mihajlo Nešković,mihajlo-neskovic,M,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
