match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAttempt,cornerKicks,dispossessed,diveSaves,dribblesPercentage,duelWonPercent,errorsLeadToGoal,errorsLeadToShot,expectedGoals,finalThirdEntries,finalThirdPhaseStatistic,fouledFinalThird,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,highClaims,hitWoodwork,interceptionWon,offsides,passes,penaltySaves,punches,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,touchesInOppBox,wonTacklePercent,yellowCards
14015401,5149,FK Crvena zvezda,home,8,17,399,1.0,12,58,50,10.0,6.0,4.0,2,9,9,0.0,7,56,0.0,,3.8,38,106,1.0,9,7,8,1.0,31,0.0,0,15,3.0,457,,,,6,15,12,8,20,23,3,16,48,12,
14015401,5153,OFK Beograd,away,2,15,260,1.0,5,42,40,0.0,0.0,0.0,1,0,5,1.0,2,44,1.0,,0.21,35,42,0.0,8,9,8,6.0,29,1.0,0,4,3.0,332,,,,2,2,19,26,3,5,2,19,9,12,
14015402,5153,OFK Beograd,home,4,13,337,,14,60,44,0.0,0.0,,1,3,10,,9,46,,,0.99,51,63,6.0,21,21,6,3.0,42,,0,5,3.0,407,,,,4,2,16,36,4,7,3,14,16,9,4.0
14015402,5144,FK Javor Ivanjica,away,6,22,190,,20,40,40,2.0,2.0,,3,6,3,,8,54,,,1.34,45,40,4.0,21,21,6,2.0,46,,0,5,0.0,261,,,,8,3,21,25,10,14,4,18,14,9,3.0
14015404,263360,FK TSC Bačka Topola,home,10,30,350,1.0,10,58,55,5.0,4.0,1.0,9,6,10,0.0,8,50,,,2.53,73,86,3.0,19,19,7,2.0,52,0.0,0,12,,432,,1.0,,3,7,13,16,12,19,7,25,21,20,5.0
14015404,36967,FK Spartak Subotica,away,3,17,227,0.0,13,42,57,1.0,1.0,0.0,5,5,11,1.0,13,50,,,0.36,51,65,4.0,19,19,9,5.0,48,1.0,0,13,,316,,1.0,,7,2,19,22,6,14,8,17,25,12,3.0
14015405,7771,FK Mladost Lučani,home,3,32,197,0.0,19,38,57,1.0,1.0,,2,1,7,1.0,8,50,,,0.85,49,38,7.0,12,21,11,4.0,45,1.0,1,9,0.0,284,,,,4,1,17,29,5,7,2,17,11,10,3.0
14015405,111127,FK Radnik Surdulica,away,3,21,384,2.0,22,62,48,1.0,1.0,,3,5,6,0.0,8,50,,,1.57,74,138,2.0,21,12,9,0.0,42,1.0,2,15,1.0,464,,,,8,5,24,27,8,16,8,22,24,15,4.0
14015407,5148,FK Čukarički,home,3,22,95,,17,26,41,1.0,1.0,0.0,3,3,9,1.0,3,51,,,0.81,59,29,6.0,9,24,9,7.0,37,3.0,1,6,1.0,177,,0.0,1.0,3,1,15,35,6,7,1,11,13,7,4.0
14015407,25737,FK Radnički Niš,away,9,20,425,,26,74,44,3.0,2.0,1.0,12,4,7,0.0,6,49,,,2.44,75,199,3.0,24,9,6,0.0,26,0.0,2,5,2.0,488,,1.0,0.0,5,9,24,21,15,26,11,12,32,8,1.0
14015408,25736,FK Novi Pazar,home,11,28,459,,16,65,52,5.0,4.0,1.0,7,10,9,1.0,5,48,,0.0,1.5,69,103,1.0,17,8,8,4.0,32,1.0,1,6,1.0,525,1.0,1.0,,6,3,22,29,11,16,5,20,25,10,3.0
14015408,308176,FK IMT Beograd,away,3,29,212,,10,35,43,5.0,3.0,2.0,5,3,6,0.0,6,52,,1.0,2.27,46,48,3.0,8,16,12,2.0,43,0.0,0,10,2.0,290,0.0,0.0,,5,6,21,32,9,16,7,22,21,12,2.0
14015409,282203,FK Železničar Pančevo,home,3,31,522,1.0,17,61,51,,,,2,5,9,,12,51,,0.0,0.65,67,74,4.0,10,14,6,2.0,42,1.0,0,12,1.0,602,,,,6,4,17,13,6,12,6,17,13,11,1.0
14015409,7674,FK Napredak Kruševac,away,4,33,294,0.0,19,39,48,,,,1,3,8,,9,49,,1.0,0.26,39,46,1.0,14,10,7,4.0,37,1.0,0,13,1.0,375,,,,3,2,20,26,4,6,2,18,11,12,1.0
14015410,5152,FK Partizan,home,6,32,500,,12,68,48,4.0,3.0,1.0,7,6,7,0.0,14,57,,,2.82,98,127,5.0,9,13,10,0.0,47,1.0,0,5,1.0,594,,1.0,,6,12,22,14,17,25,8,21,40,16,0.0
14015410,43981,FK Radnički 1923,away,1,17,206,,5,32,56,0.0,0.0,0.0,2,2,11,3.0,10,43,,,0.16,27,48,1.0,13,9,8,10.0,40,0.0,0,10,1.0,275,,0.0,,3,1,21,33,4,6,2,21,14,12,5.0
14015411,5144,FK Javor Ivanjica,home,2,14,108,0.0,10,26,39,1.0,0.0,1.0,1,1,3,2.0,4,49,,1.0,0.59,45,28,0.0,14,10,16,6.0,39,0.0,0,15,0.0,184,,1.0,,3,3,10,39,6,7,1,25,11,18,4.0
14015411,43981,FK Radnički 1923,away,7,21,460,1.0,22,74,48,5.0,3.0,2.0,8,7,16,0.0,8,51,,0.0,2.56,77,179,5.0,10,13,6,1.0,28,1.0,1,3,1.0,524,,0.0,,14,8,23,18,17,30,13,7,38,5,5.0
14015412,7674,FK Napredak Kruševac,home,9,28,275,0.0,12,43,55,2.0,0.0,2.0,10,4,6,1.0,9,49,0.0,1.0,1.46,55,103,1.0,13,12,7,2.0,31,2.0,0,13,,343,,,,7,6,17,29,14,23,9,10,30,4,0.0
14015412,5152,FK Partizan,away,1,30,407,4.0,9,57,55,5.0,3.0,2.0,1,4,3,1.0,5,51,1.0,3.0,2.22,55,89,1.0,12,13,8,4.0,35,1.0,1,10,,485,,,,5,9,10,25,13,15,2,17,33,13,1.0
14015413,308176,FK IMT Beograd,home,2,19,306,,12,54,40,2.0,1.0,1.0,0,5,5,,13,53,,,1.22,50,64,3.0,15,9,9,1.0,48,0.0,0,9,1.0,387,,,,3,4,29,10,5,7,2,27,15,21,4.0
14015413,282203,FK Železničar Pančevo,away,2,27,284,,12,46,49,5.0,1.0,4.0,4,3,18,,8,47,,,2.84,41,46,4.0,10,13,8,2.0,41,1.0,0,11,3.0,349,,,,5,6,26,24,11,15,4,18,27,12,1.0
14015414,25737,FK Radnički Niš,home,5,19,285,0.0,28,62,40,2.0,1.0,1.0,8,4,10,2.0,9,52,,,1.83,82,103,3.0,13,13,8,5.0,32,,0,8,2.0,372,,,,7,3,39,24,12,18,6,11,34,9,2.0
14015414,25736,FK Novi Pazar,away,4,12,143,1.0,18,38,40,3.0,1.0,2.0,3,4,5,0.0,5,48,,,1.62,39,40,1.0,14,13,11,1.0,37,,0,20,1.0,227,,,,7,8,21,33,11,18,7,20,21,13,3.0
14015415,111127,FK Radnik Surdulica,home,5,26,183,,21,40,50,5.0,3.0,2.0,4,4,5,0.0,3,54,0.0,0.0,2.31,38,61,3.0,22,13,8,0.0,38,2.0,0,4,2.0,245,,1.0,,6,8,18,38,15,18,3,22,26,13,1.0
14015415,5148,FK Čukarički,away,5,56,306,,14,60,38,1.0,1.0,0.0,3,2,10,1.0,6,46,1.0,1.0,1.16,80,78,8.0,13,22,10,5.0,36,0.0,0,5,2.0,379,,0.0,,5,1,31,24,6,9,3,11,26,7,3.0
14015416,36967,FK Spartak Subotica,home,4,16,488,,15,60,60,2.0,1.0,1.0,4,1,9,,5,55,,0.0,1.04,44,100,1.0,14,12,5,4.0,38,,0,8,1.0,574,,,0.0,2,4,20,19,5,10,5,23,15,17,4.0
14015416,7771,FK Mladost Lučani,away,5,18,289,,16,40,52,1.0,1.0,0.0,3,4,12,,1,45,,1.0,0.88,57,73,2.0,12,14,6,3.0,28,,0,11,0.0,369,,,1.0,2,4,21,14,5,9,4,15,22,8,2.0
14015417,5149,FK Crvena zvezda,home,9,27,303,1.0,18,53,40,3.0,3.0,,6,6,9,0.0,8,51,,1.0,3.1,54,75,3.0,10,15,10,2.0,36,,0,5,3.0,371,,1.0,,10,11,26,19,18,27,9,15,50,13,0.0
14015417,263360,FK TSC Bačka Topola,away,4,27,243,0.0,14,47,47,3.0,3.0,,6,6,9,1.0,1,49,,1.0,1.11,38,42,0.0,15,10,13,10.0,37,,0,7,0.0,332,,0.0,,6,2,12,20,8,14,6,26,19,17,1.0
14015418,5153,OFK Beograd,home,3,24,278,1.0,16,49,52,0.0,0.0,0.0,4,4,9,2.0,8,53,,,0.86,62,67,2.0,10,16,11,4.0,41,,0,11,2.0,348,,1.0,1.0,4,5,22,29,8,13,5,18,21,10,5.0
14015418,5150,FK Vojvodina,away,2,26,289,2.0,8,51,54,3.0,2.0,1.0,5,4,11,1.0,5,47,,,1.93,50,76,1.0,16,9,8,4.0,43,,0,6,2.0,365,,1.0,0.0,8,6,19,34,9,19,10,28,24,19,7.0
14015420,5150,FK Vojvodina,home,7,21,439,1.0,18,65,60,1.0,0.0,1.0,8,7,8,,7,54,,1.0,1.78,95,122,2.0,11,7,4,5.0,31,0.0,0,9,0.0,514,,0.0,,7,6,18,17,11,21,10,18,26,10,1.0
14015420,5144,FK Javor Ivanjica,away,2,14,213,2.0,8,35,48,2.0,2.0,0.0,2,4,11,,7,46,,1.0,0.81,45,26,1.0,7,11,17,4.0,34,1.0,0,6,2.0,289,,2.0,,2,6,17,52,8,10,2,17,19,9,2.0
14015421,263360,FK TSC Bačka Topola,home,2,20,344,0.0,10,58,40,2.0,1.0,1.0,3,1,11,1.0,10,53,,,1.18,51,82,4.0,8,15,12,3.0,41,0.0,1,7,3.0,408,,1.0,,4,7,23,18,6,14,8,16,23,12,1.0
14015421,5153,OFK Beograd,away,3,29,230,3.0,9,42,51,8.0,6.0,2.0,1,3,6,0.0,11,47,,,2.35,33,45,1.0,15,8,5,6.0,37,3.0,0,10,3.0,292,,1.0,,9,6,15,31,13,16,3,19,23,10,3.0
14015422,7771,FK Mladost Lučani,home,0,16,117,0.0,11,25,40,0.0,,0.0,2,3,8,3.0,1,42,,1.0,0.35,37,36,1.0,12,6,9,7.0,22,2.0,0,8,1.0,179,,1.0,,4,4,15,36,4,10,6,15,10,10,2.0
14015422,5149,FK Crvena zvezda,away,5,35,486,1.0,10,75,45,2.0,,2.0,11,10,7,0.0,8,58,,0.0,4.44,61,144,5.0,6,11,4,3.0,35,0.0,0,6,3.0,554,,0.0,,8,11,18,23,18,30,12,17,41,14,0.0
14015423,5148,FK Čukarički,home,2,37,251,0.0,25,45,65,3.0,1.0,2.0,1,6,10,1.0,12,53,,,1.0,79,66,1.0,17,10,10,1.0,46,,0,11,1.0,352,,0.0,,4,7,21,31,5,12,7,25,10,17,1.0
14015423,36967,FK Spartak Subotica,away,4,34,325,1.0,25,55,61,1.0,0.0,1.0,3,3,11,0.0,7,47,,,0.62,75,95,1.0,10,17,10,5.0,38,,0,8,2.0,426,,1.0,,5,2,21,25,6,10,4,17,24,12,1.0
14015424,25736,FK Novi Pazar,home,7,17,191,,19,43,47,3.0,1.0,2.0,5,6,12,,6,53,,,1.88,59,68,10.0,15,22,7,2.0,42,,0,11,2.0,257,,1.0,,7,5,16,39,9,17,8,14,25,9,2.0
14015424,111127,FK Radnik Surdulica,away,6,28,246,,14,57,41,2.0,2.0,0.0,1,10,7,,2,47,,,0.91,48,55,4.0,22,15,12,3.0,40,,0,3,1.0,332,,1.0,,3,3,25,22,6,7,1,23,19,13,3.0
14015425,282203,FK Železničar Pančevo,home,6,33,421,,10,55,43,3.0,2.0,1.0,7,6,1,0.0,8,49,,,2.3,49,71,4.0,17,18,4,6.0,33,1.0,2,5,2.0,477,,3.0,,6,5,14,23,10,18,8,11,36,4,1.0
14015425,25737,FK Radnički Niš,away,2,19,341,,7,45,43,1.0,1.0,0.0,5,3,7,1.0,13,51,,,0.84,38,105,1.0,18,17,8,2.0,37,0.0,0,8,2.0,387,,0.0,,4,6,10,28,7,15,8,7,21,5,3.0
14015426,5152,FK Partizan,home,3,26,385,2.0,6,54,47,5.0,3.0,2.0,7,4,3,0.0,9,48,,,1.51,56,81,1.0,11,19,6,4.0,42,0.0,1,7,,453,,,,2,7,16,17,12,16,4,14,28,5,1.0
14015426,308176,FK IMT Beograd,away,1,19,316,0.0,8,46,39,2.0,1.0,1.0,3,3,6,1.0,11,52,,,1.56,40,77,2.0,19,11,5,2.0,43,1.0,0,9,,373,,,,2,5,12,24,7,10,3,22,19,13,6.0
14015427,43981,FK Radnički 1923,home,16,27,431,2.0,26,71,63,4.0,4.0,,10,9,5,,7,52,,,2.23,83,199,2.0,12,14,4,0.0,33,,1,7,3.0,502,,0.0,0.0,18,5,21,6,21,33,12,15,55,8,0.0
14015427,7674,FK Napredak Kruševac,away,2,15,131,0.0,20,29,42,0.0,0.0,,1,2,4,,6,48,,,0.3,33,26,0.0,14,12,22,5.0,35,,0,11,0.0,212,,1.0,1.0,1,0,8,46,2,2,0,18,6,12,4.0
14015429,5144,FK Javor Ivanjica,home,4,21,214,,14,38,35,1.0,1.0,,5,4,11,1.0,6,47,,,1.34,40,62,3.0,14,12,7,4.0,42,2.0,0,11,1.0,265,,1.0,,5,3,23,44,8,13,5,24,24,9,1.0
14015429,7674,FK Napredak Kruševac,away,5,30,367,,22,62,46,1.0,1.0,,4,4,12,1.0,5,53,,,1.61,52,100,5.0,12,14,8,3.0,40,1.0,0,6,2.0,445,,2.0,,5,4,21,18,9,13,4,23,30,14,1.0
14015430,308176,FK IMT Beograd,home,2,20,206,,10,36,51,3.0,1.0,2.0,1,0,3,3.0,3,52,0.0,,1.08,31,35,1.0,14,9,14,10.0,41,,0,8,3.0,293,,,,2,2,13,49,5,5,0,30,15,21,2.0
14015430,43981,FK Radnički 1923,away,9,18,428,,18,64,63,1.0,1.0,0.0,13,12,17,0.0,6,48,1.0,,1.67,81,153,7.0,10,14,3,0.0,29,,1,12,1.0,497,,,,9,10,29,9,15,32,17,11,37,6,2.0
14015431,25737,FK Radnički Niš,home,4,20,232,,13,40,51,0.0,0.0,0.0,1,5,6,4.0,3,38,,,0.83,67,78,1.0,16,5,6,8.0,21,2.0,0,5,0.0,311,,,,9,3,15,32,8,13,5,13,24,9,6.0
14015431,5152,FK Partizan,away,8,27,378,,20,60,44,4.0,2.0,2.0,6,9,5,1.0,8,62,,,1.95,52,71,2.0,5,16,9,1.0,35,0.0,0,5,2.0,469,,,,2,10,28,19,10,18,8,11,29,4,1.0
14015432,111127,FK Radnik Surdulica,home,6,38,283,1.0,19,45,45,1.0,1.0,0.0,3,5,9,,6,47,,2.0,1.21,61,81,1.0,9,12,12,3.0,40,0.0,0,10,1.0,364,,3.0,,10,3,20,24,10,16,6,24,31,15,2.0
14015432,282203,FK Železničar Pančevo,away,5,34,386,1.0,26,55,54,5.0,3.0,2.0,1,9,9,,9,53,,0.0,1.63,55,68,1.0,12,9,9,2.0,41,1.0,0,3,0.0,457,,0.0,,3,5,16,31,7,9,2,23,18,15,3.0
14015433,36967,FK Spartak Subotica,home,6,23,403,1.0,24,63,55,1.0,1.0,0.0,3,7,18,,10,51,,,2.16,64,79,3.0,12,13,9,1.0,39,0.0,1,12,0.0,522,0.0,2.0,,5,6,25,20,9,14,5,16,30,10,3.0
