match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,penaltyConceded,keyPass,hitWoodwork
15281007,home,24312,FK Jezero,1391888,Šaban Kolić,saban-kolic,G,1,False,30.0,24.0,11.0,5.0,0.0,19.0,21.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,90.0,34.0,6.9,11.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,45.45454545454545,,,0.0,,,,,,
15281007,home,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,47.0,27.0,5.0,3.0,0.0,13.0,22.0,10.0,21.0,2.0,0.0,2.0,2.0,14.0,9.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,66.0,6.6,24.0,0.02,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,4,19,7,12,57.446808510638306,60.0,0.0,0.0,,1.0,1.0,,,,
15281007,home,24312,FK Jezero,1393483,Mihailo Ilić,mihailo-ilic,D,4,False,29.0,22.0,6.0,2.0,0.0,17.0,19.0,3.0,7.0,0.0,0.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,41.0,7.2,16.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,3,0,75.86206896551724,33.33333333333333,,,,,,,,,
15281007,home,241802,FK Jezero,2055911,Rejhan Redžić,rejhan-redzic,D,21,False,39.0,32.0,7.0,3.0,0.0,27.0,31.0,4.0,6.0,0.0,0.0,1.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,90.0,52.0,7.1,11.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,82.05128205128204,42.857142857142854,,,,,,,,,
15281007,home,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,43.0,33.0,10.0,4.0,0.0,21.0,22.0,10.0,18.0,2.0,1.0,1.0,3.0,9.0,10.0,2.0,2.0,2.0,0.0,0.0,10.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,58.0,7.3,13.0,0.03,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,7,8,76.74418604651163,40.0,50.0,100.0,,1.0,2.0,,,,
15281007,home,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,False,46.0,35.0,12.0,6.0,0.0,11.0,13.0,24.0,31.0,0.0,0.0,4.0,0.0,14.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,56.0,6.7,11.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,3,10,76.08695652173914,50.0,,100.0,,1.0,,,,,
15281007,home,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,False,39.0,34.0,4.0,3.0,0.0,17.0,20.0,16.0,18.0,1.0,0.0,1.0,4.0,20.0,11.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,52.0,6.6,11.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",31,5,26,7,19,87.17948717948718,75.0,0.0,50.0,,,,,,,
15281007,home,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,16.0,11.0,2.0,0.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,3.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,,,,,,,74.0,25.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,68.75,0.0,,0.0,,,,,,,
15281007,home,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,31.0,27.0,1.0,1.0,0.0,7.0,7.0,19.0,23.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,49.0,7.1,7.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,8,11,87.09677419354838,100.0,,100.0,,2.0,,,,,
15281007,home,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,False,30.0,21.0,4.0,2.0,0.0,13.0,16.0,7.0,12.0,0.0,0.0,5.0,1.0,25.0,6.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,,10.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,,,,,,,90.0,48.0,5.7,16.0,0.0,0.0,"{'original': 5.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",31,6,25,5,20,70.0,50.0,,0.0,,2.0,,1.0,1.0,,
15281007,home,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,20.0,11.0,4.0,1.0,0.0,4.0,6.0,6.0,13.0,0.0,0.0,5.0,4.0,13.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,,,,,,,87.0,34.0,6.7,18.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,9,12,4,8,55.00000000000001,25.0,,100.0,,1.0,,,,,
15281007,home,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,M,45,True,10.0,6.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,16.0,16.0,6.6,8.0,0.0,0.04,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,60.0,,,,,,,,,1.0,
