match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,aerialLost,dispossessed,onTargetScoringAttempt,shotValueNormalized,bigChanceMissed,shotOffTarget,outfielderBlock,totalContest,wonContest,blockedScoringAttempt,bigChanceCreated,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,hitWoodwork
14015568,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,home,5152,FK Partizan,1983654,Dušan Jovanović,dusan-jovanovic,F,79,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,36.0,15.0,35.0,14.0,0.0,2.0,2.0,13.0,34.0,8.0,90.0,44.0,8.4,21.0,45.494481321745,8.0,3.5470375770623,"{'original': 8.4, 'alternative': 7.7}",0,0.14,-0.04,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,41.66666666666667,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0.3739,0.35,
14015568,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,15.0,9.0,5.0,1.0,0.0,5.0,7.0,4.0,8.0,1.0,90.0,36.0,6.8,15.0,62.302514327003,8.0,3.4632326501675,"{'original': 6.8, 'alternative': 6.9}",0,-0.04,0.03,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,60.0,20.0,,,,2.0,,1.0,3.0,2.0,1.0,2.0,3.0,1.0,,2.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
14015568,away,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,12.0,8.0,5.0,2.0,0.0,3.0,4.0,5.0,8.0,2.0,90.0,24.0,7.1,6.0,98.50358583722,9.0,-11.877377364318,"{'original': 7.1, 'alternative': 7}",0,0.02,0.05,0.53,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,66.66666666666666,40.0,,,,,,1.0,2.0,2.0,,7.0,1.0,,,1.0,1.0,1.0,16.939280085,21.477374723183,1.0,,,1.0,,,,,1.0,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,31.0,25.0,6.0,3.0,0.0,16.0,17.0,9.0,14.0,4.0,90.0,49.0,7.8,7.0,64.363947102591,8.0,12.353449855454,"{'original': 7.8, 'alternative': 8}",0,0.14,0.02,0.92,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,80.64516129032258,50.0,,,,,,,1.0,2.0,,8.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,5.0,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,35.0,25.0,8.0,4.0,0.0,13.0,17.0,12.0,18.0,5.0,90.0,54.0,7.3,12.0,65.79395396768,11.0,-20.065239928294,"{'original': 7.3, 'alternative': 7.3}",0,0.15,0.04,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,71.42857142857143,50.0,,,,,,1.0,7.0,8.0,3.0,1.0,2.0,4.0,3.0,,3.0,2.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
14015568,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,14.0,11.0,,,0.0,4.0,4.0,7.0,10.0,1.0,37.0,19.0,5.4,5.0,26.184585852917,4.0,15.883642106416,"{'original': 5.4, 'alternative': 5.6}",0,0.01,0.03,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,78.57142857142857,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,13.0,9.0,2.0,,0.0,2.0,3.0,7.0,10.0,3.0,90.0,29.0,6.9,8.0,53.577314047122,6.0,0.39488931263677,"{'original': 6.9, 'alternative': 7}",1,0.09,0.08,0.23,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,69.23076923076923,,100.0,,,1.0,1.0,2.0,5.0,6.0,,1.0,,4.0,3.0,1.0,,,,,,1.0,2.0,2.0,,-0.17,,,,1.0,,1.0,,,,,,,
14015568,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,18.0,12.0,,,0.0,5.0,5.0,7.0,13.0,5.0,90.0,32.0,6.7,8.0,62.687068377419,8.0,21.183294123324,"{'original': 6.7, 'alternative': 6.7}",1,-0.03,0.03,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,66.66666666666666,,,,,,,1.0,6.0,5.0,1.0,2.0,2.0,1.0,,,3.0,2.0,,,,,1.0,1.0,,-0.12,,1.0,,1.0,,,,,,,,,
