match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,shotValueNormalized,totalOffside,totalCross,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,dispossessed,bigChanceCreated,bigChanceMissed,outfielderBlock
14015553,away,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,33.0,29.0,2.0,1.0,0.0,10.0,10.0,19.0,23.0,,4.0,1.0,3.0,,,,71.0,50.0,6.6,11.0,151.68341350992,17.0,-74.76,8.19,,"{'original': 6.6, 'alternative': 6.6}",0,-0.13,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,87.87878787878788,50.0,,33.33333333333333,,,5.0,1.0,3.0,1.0,3.0,2.0,,,1.0,,,,,,2.0,,,,,2.0,,,
14015553,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,False,19.0,16.0,1.0,,0.0,2.0,2.0,14.0,17.0,1.0,6.0,3.0,2.0,,,,71.0,32.0,6.7,7.0,164.4422693367,16.0,-4.305,29.085,,"{'original': 6.7, 'alternative': 6.6}",0,0.21,0.19,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,84.21052631578947,,100.0,66.66666666666666,,1.0,5.0,,3.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,2.0,,,
14015553,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,F,97,False,25.0,20.0,,,0.0,11.0,13.0,9.0,12.0,,2.0,2.0,2.0,,,,90.0,39.0,5.7,11.0,141.68467859693,16.0,14.07,24.78,,"{'original': 5.7, 'alternative': 6.3}",1,-0.22,-0.39,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,80.0,,,,,4.0,9.0,,1.0,,,,,,2.0,2.0,,1.0,-0.28,,,,,,,2.0,,,
14015553,away,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,F,7,False,26.0,20.0,3.0,,0.0,1.0,1.0,19.0,25.0,,2.0,2.0,1.0,,,,90.0,49.0,6.5,21.0,200.23348509525,18.0,-68.985,9.345,,"{'original': 6.5, 'alternative': 6.8}",0,-0.33,0.44,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,76.92307692307693,,28.57142857142857,50.0,,1.0,6.0,,2.0,1.0,,,,,7.0,2.0,1.0,,,,7.0,2.0,,,,2.0,,,
14015553,away,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,True,5.0,1.0,,,0.0,,,1.0,5.0,,,,,,,,27.0,8.0,6.1,5.0,11.968380224495,2.0,-2.625,4.515,,"{'original': 6.1, 'alternative': 6.6}",1,-0.4,0.17,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,20.0,,,,,1.0,2.0,,,,,,,,,,,1.0,-0.2,,,,,,,1.0,,,
14015553,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,17.0,14.0,4.0,2.0,0.0,4.0,4.0,10.0,13.0,,4.0,,3.0,,,,19.0,31.0,7.0,10.0,100.27785692139,12.0,-7.5599999999999,12.075,,"{'original': 7, 'alternative': 7.1}",0,0.09,-0.15,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,82.35294117647058,50.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,5.0,,,,,1.0,,,
14015553,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,15.0,15.0,1.0,1.0,0.0,6.0,6.0,9.0,9.0,,1.0,1.0,,,,,19.0,16.0,6.7,,72.87910146279,9.0,-10.395,4.62,,"{'original': 6.7, 'alternative': 6.8}",0,-0.04,-0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,100.0,,100.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015553,away,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,2.0,1.0,,,0.0,,1.0,1.0,1.0,,,2.0,,,,,9.0,2.0,6.5,1.0,8.0116605020433,1.0,-7.56,-7.56,,"{'original': 6.5, 'alternative': 6.6}",0,-0.01,0.08,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015553,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,away,409200,FK Radnički Niš,307458,Petar Petrović,petar-petrovic,M,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
