match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,shotOffTarget,interceptionWon,shotValueNormalized,dispossessed,errorLeadToAShot,bigChanceCreated,blockedScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalContest,wonContest,onTargetScoringAttempt,lastManTackle,bigChanceMissed,goals,penaltyConceded,challengeLost,punches,outfielderBlock,totalOffside,penaltyWon,penaltyMiss
14015595,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,37.0,17.0,28.0,9.0,0.0,11.0,19.0,6.0,18.0,5.0,6.0,,,6.0,90.0,46.0,7.2,20.0,63.703169552848,12.0,12.304166866962,0.0,0.9053,"{'original': 7.2, 'alternative': 6.7}",0,0.08,-0.1,-0.32,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,45.94594594594595,32.142857142857146,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
14015595,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,24.0,11.0,6.0,,0.0,4.0,10.0,7.0,14.0,3.0,,,,,90.0,45.0,5.9,16.0,138.0390994497,13.0,-1.2285099969391,1.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.08,-0.06,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,45.83333333333333,,100.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,26.170570435875,33.794127078532,,,,,,,,,,,1.0,,,
14015595,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,46.0,38.0,5.0,2.0,0.0,32.0,36.0,6.0,10.0,5.0,,,,,90.0,59.0,6.1,9.0,51.149990223674,9.0,16.067842862862,0.0,,"{'original': 6.1, 'alternative': 6.4}",0,0.0,0.03,-0.58,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,82.6086956521739,40.0,,100.0,,,,1.0,4.0,4.0,7.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,2.0,2.0,,,,,,2.0,,1.0,1.0,,
14015595,away,5152,FK Partizan,108736,Stefan Mitrović,stefan-mitrovic,D,23,False,31.0,27.0,3.0,1.0,0.0,22.0,24.0,5.0,7.0,2.0,,,,,90.0,49.0,6.2,5.0,100.86788009448,8.0,-21.433317797163,0.0,,"{'original': 6.2, 'alternative': 6.6}",1,0.04,0.0,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,1,4,87.09677419354838,33.33333333333333,,,,,,4.0,8.0,5.0,12.0,1.0,1.0,1.0,,4.0,4.0,1.0,1.0,-0.05,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,False,21.0,14.0,5.0,3.0,0.0,10.0,11.0,4.0,10.0,2.0,,,,,90.0,32.0,6.0,11.0,53.396282839033,6.0,7.7768938866419,0.0,,"{'original': 6, 'alternative': 6.1}",0,0.05,-0.12,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,66.66666666666666,60.0,,,,1.0,,1.0,2.0,2.0,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
14015595,away,5152,FK Partizan,188115,Saša Zdjelar,sasa-zdjelar,M,14,False,18.0,16.0,2.0,,0.0,9.0,9.0,7.0,9.0,3.0,,,,,49.0,31.0,6.4,5.0,42.115037104225,7.0,-4.074769391092,0.0,,"{'original': 6.4, 'alternative': 6.7}",0,0.04,0.0,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,88.88888888888889,,,,,,,,4.0,1.0,2.0,1.0,,2.0,,,1.0,,3.0,,,,,,,,,1.0,,,,,,,2.0,,2.0,,,
14015595,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,M,40,False,8.0,2.0,1.0,,0.0,1.0,3.0,1.0,5.0,,,,,,89.0,17.0,6.9,8.0,9.356582435738,2.0,-8.4941071145237,0.0,,"{'original': 6.9, 'alternative': 6.9}",0,-0.07,-0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,25.0,,,,,,,1.0,2.0,5.0,,2.0,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
14015595,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,11.0,7.0,,,0.0,1.0,3.0,6.0,8.0,4.0,,,,,89.0,31.0,6.4,13.0,100.50897174004,13.0,61.645006336817,1.0,,"{'original': 6.4, 'alternative': 6.8}",1,-0.02,0.21,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,63.63636363636363,,,,,1.0,,,8.0,7.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,,1.0,-0.08,2.0,,1.0,,12.141815998002,13.026391058156,1.0,2.0,,1.0,,,,,,,,,,
