match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,totalTackle,wasFouled,fouls,outfielderBlock,interceptionWon,keyPass,wonTackle,onTargetScoringAttempt,shotValueNormalized,shotOffTarget,blockedScoringAttempt,accurateCross,bigChanceCreated,goals,totalOffside
14015534,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,M,50,True,12.0,6.0,5.0,,0.0,3.0,3.0,3.0,9.0,1.0,,,,,37.0,28.0,6.5,10.0,30.096824445121,4.0,-20.16,4.83,,"{'original': 6.5, 'alternative': 6.6}",0,0.01,0.0,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,50.0,,,100.0,,2.0,,,,3.0,,,1.0,1.0,4.0,2.0,,,,,,2.0,,,,,,,,
14015534,away,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,2.0,,,,28.0,7.0,6.2,3.0,5.7880943323343,1.0,-3.57,-3.57,,"{'original': 6.2, 'alternative': 6.3}",0,0.0,0.0,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,66.66666666666666,,,,,,1.0,,3.0,,,,,,,,,2.0,,,,,,,,,,,,
14015534,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,9.0,8.0,4.0,3.0,0.0,7.0,8.0,1.0,1.0,6.0,,,,,26.0,13.0,6.6,1.0,3.5682802580515,1.0,-0.84,-0.84,,"{'original': 6.6, 'alternative': 6.5}",0,0.03,0.0,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,75.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14015534,away,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,1.0,,,,0.0,,,,1.0,,,,,,10.0,2.0,6.3,1.0,,,,,,"{'original': 6.3, 'alternative': 6.5}",0,-0.26,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
