match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,wasFouled,keyPass,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,ownGoals,fouls,blockedScoringAttempt,accurateCross,totalTackle,wonTackle,unsuccessfulTouch,onTargetScoringAttempt,goals,totalOffside,clearanceOffLine,punches,bigChanceMissed,bigChanceCreated
14015530,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,44.0,36.0,7.0,2.0,0.0,14.0,16.0,22.0,28.0,,4.0,,,,,,90.0,68.0,6.6,15.0,207.01581652112,24.0,-96.075,16.065,,"{'original': 6.6, 'alternative': 7}",2,0.03,0.19,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,81.81818181818183,28.57142857142857,,100.0,,2.0,,,3.0,4.0,,2.0,2.0,2.0,1.0,,,1.0,,-0.22,,4.0,1.0,,1.0,1.0,,,,,,,,
14015530,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,62.0,53.0,9.0,3.0,0.0,39.0,40.0,14.0,22.0,5.0,5.0,,,,,,90.0,72.0,6.8,11.0,292.82377441424,34.0,-201.075,5.985,,"{'original': 6.8, 'alternative': 7.2}",1,-0.02,0.23,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,0,2,85.48387096774194,33.33333333333333,,,,1.0,,5.0,2.0,5.0,,,,,,1.0,,,1.0,-0.27,,2.0,,,,,,1.0,,,,,1.0,
14015530,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,61.0,45.0,18.0,12.0,0.0,22.0,24.0,23.0,37.0,5.0,3.0,,,,,,90.0,72.0,7.2,16.0,232.36860934619,27.0,-197.4,1.05,,"{'original': 7.2, 'alternative': 7.5}",1,0.32,0.15,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,73.77049180327869,66.66666666666666,,,,,2.0,1.0,3.0,3.0,,,,,,,,,,-0.09,,1.0,1.0,,2.0,2.0,,,,,,,,
14015530,away,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,D,6,False,42.0,34.0,4.0,1.0,0.0,12.0,14.0,22.0,28.0,2.0,5.0,,,,,,90.0,60.0,5.8,13.0,136.00819988378,15.0,-46.62,15.12,,"{'original': 5.8, 'alternative': 6.8}",0,-0.39,0.08,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,80.95238095238095,25.0,,100.0,,2.0,3.0,1.0,8.0,4.0,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,,3.0,,,1.0,1.0,1.0,,,,,,,
14015530,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,61.0,49.0,6.0,,0.0,24.0,24.0,25.0,37.0,2.0,8.0,,,,,,88.0,76.0,6.4,17.0,189.62771737574,27.0,-52.605,9.975,,"{'original': 6.4, 'alternative': 6.7}",0,0.06,0.17,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,3,2,80.32786885245902,,,,,,4.0,1.0,6.0,4.0,1.0,,,,2.0,,,,,,,1.0,,,1.0,,4.0,,,,,,,
14015530,away,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,59.0,50.0,10.0,6.0,0.0,21.0,23.0,29.0,36.0,1.0,7.0,,,,,,88.0,70.0,6.7,13.0,185.92470897671,23.0,-54.6,20.895,,"{'original': 6.7, 'alternative': 6.8}",0,0.06,0.17,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,84.7457627118644,60.0,,,,3.0,2.0,1.0,7.0,4.0,,,,1.0,1.0,1.0,4.0,,,,,1.0,,,2.0,1.0,1.0,,,,,,,
14015530,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,False,15.0,11.0,1.0,,0.0,2.0,2.0,9.0,13.0,,1.0,,,,,,79.0,26.0,6.7,9.0,138.66728321256,14.0,-95.34,6.405,,"{'original': 6.7, 'alternative': 6.8}",0,0.21,0.15,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,73.33333333333333,,37.5,,,8.0,3.0,1.0,3.0,2.0,,,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,,
14015530,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,22.0,17.0,2.0,,0.0,9.0,9.0,8.0,13.0,,2.0,,,,,,61.0,33.0,6.3,10.0,161.86216453255,10.0,-13.545,36.225,,"{'original': 6.3, 'alternative': 6.6}",1,0.04,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,77.27272727272727,,50.0,,,4.0,3.0,,4.0,2.0,,,,,,1.0,,,,-0.21,,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,,
14015530,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,26.0,21.0,4.0,4.0,0.0,5.0,5.0,16.0,21.0,,6.0,,,,,,90.0,49.0,7.5,16.0,200.6081118152,23.0,-69.51,9.03,,"{'original': 7.5, 'alternative': 7.6}",3,0.23,0.34,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,80.76923076923077,100.0,20.0,,,5.0,1.0,,5.0,4.0,1.0,1.0,,,3.0,,,1.0,,0.16,,2.0,,1.0,1.0,,5.0,2.0,,,,,,
14015530,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,20.0,12.0,,,0.0,5.0,8.0,7.0,12.0,1.0,3.0,,,,,,90.0,31.0,7.7,9.0,40.304265507445,6.0,-0.41999999999997,3.675,,"{'original': 7.7, 'alternative': 8.4}",5,-0.19,0.17,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,12,9,4,5,60.0,,,,,,3.0,9.0,8.0,13.0,,,,,3.0,2.0,,1.0,,-0.6,,5.0,1.0,,1.0,1.0,,3.0,,1.0,,,,
