match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,shotValueNormalized,challengeLost,errorLeadToAGoal,outfielderBlock,aerialLost,onTargetScoringAttempt,blockedScoringAttempt,unsuccessfulTouch,bigChanceCreated,totalOffside,bigChanceMissed,lastManTackle,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,ownGoals,goals,penaltyWon
14015464,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,D,5,False,15.0,11.0,3.0,,0.0,10.0,12.0,1.0,3.0,2.0,4.0,,1.0,,,,90.0,25.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.05,0.01,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,73.33333333333333,,,,,,,1.0,1.0,,,,,7.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,D,28,False,68.0,46.0,22.0,8.0,0.0,22.0,31.0,24.0,37.0,5.0,4.0,,1.0,,,,90.0,79.0,7.7,22.0,,"{'original': 7.7, 'alternative': 7}",0,0.58,0.09,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,6,5,67.64705882352942,36.36363636363637,100.0,100.0,,1.0,1.0,,6.0,,1.0,1.0,,3.0,,4.0,2.0,1.0,1.0,,4.0,,,,,,,1.0,,,,,,,,,,
14015464,away,241802,FK Radnik Surdulica,357742,Pedro Empis,empis-pedro,D,15,False,19.0,16.0,2.0,,0.0,6.0,9.0,10.0,10.0,5.0,3.0,,4.0,,,,70.0,46.0,5.5,6.0,,"{'original': 5.5, 'alternative': 6.5}",0,-0.07,-0.35,-0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,84.21052631578947,,,,,2.0,,,2.0,,,,,2.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,
14015464,away,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,M,9,False,24.0,21.0,1.0,,0.0,9.0,10.0,12.0,14.0,14.0,6.0,,6.0,,,,89.0,45.0,6.6,11.0,,"{'original': 6.6, 'alternative': 7.1}",2,0.07,0.37,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,7,12,3,9,87.5,,,,,2.0,,2.0,5.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,0.3,,,,5.0,2.0,,3.0,1.0,,1.0,,,,,,,1.0,
14015464,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,False,20.0,14.0,2.0,1.0,0.0,11.0,13.0,3.0,7.0,8.0,1.0,,2.0,,,,70.0,34.0,6.1,11.0,,"{'original': 6.1, 'alternative': 6.1}",1,-0.01,0.34,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,1,5,70.0,50.0,,,,,,1.0,2.0,1.0,1.0,,,2.0,,1.0,,,,-0.49,1.0,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,48.0,31.0,9.0,3.0,0.0,19.0,28.0,12.0,20.0,6.0,6.0,,2.0,,,,90.0,59.0,6.3,17.0,,"{'original': 6.3, 'alternative': 6.9}",3,-0.24,0.11,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,64.58333333333334,33.33333333333333,,,,,,1.0,3.0,,,,1.0,,5.0,1.0,1.0,1.0,,-0.28,3.0,,,2.0,1.0,1.0,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,False,34.0,24.0,6.0,3.0,0.0,7.0,7.0,17.0,27.0,11.0,9.0,,2.0,,,,90.0,54.0,6.8,18.0,,"{'original': 6.8, 'alternative': 7.1}",1,-0.25,0.26,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,7,9,70.58823529411765,50.0,,50.0,,,,,7.0,4.0,2.0,1.0,,1.0,,2.0,2.0,4.0,1.0,-0.22,2.0,,,2.0,,1.0,,,,,,,,,,,,1.0
14015464,away,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,F,7,False,23.0,15.0,,,0.0,6.0,7.0,9.0,16.0,9.0,4.0,,2.0,,,,89.0,44.0,7.9,21.0,,"{'original': 7.9, 'alternative': 7.9}",3,-0.29,0.33,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,65.21739130434783,,100.0,16.666666666666664,,2.0,2.0,,2.0,1.0,6.0,1.0,,,,,,1.0,2.0,0.72,,,,1.0,2.0,1.0,7.0,,1.0,,,,,,,,2.0,
14015464,away,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,6.0,4.0,,,0.0,2.0,4.0,2.0,2.0,2.0,1.0,,,,,,20.0,10.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.01,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,8.0,6.0,2.0,,0.0,1.0,2.0,5.0,6.0,1.0,1.0,,,,,,20.0,17.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.8}",0,-0.08,0.09,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,75.0,,,100.0,,2.0,,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
14015464,away,287019,FK Radnik Surdulica,999008,Stephen Chinedu,chinedu-stephen,F,77,True,1.0,,,,0.0,,,,1.0,1.0,,,,,,,1.0,4.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015464,away,229348,FK Radnik Surdulica,1982078,Uroš Filimonović,uros-filimonovic,M,22,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,,1.0,2.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015464,away,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
