match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,totalContest,wonContest,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,bigChanceMissed,blockedScoringAttempt,onTargetScoringAttempt,goals,outfielderBlock,bigChanceCreated,totalOffside
14015592,away,5148,FK Čukarički,13691,Vladimir Stojković,vladimir-stojkovic,G,28,False,27.0,17.0,17.0,7.0,0.0,13.0,16.0,4.0,11.0,4.0,15.0,,3.0,6.0,4.0,90.0,45.0,6.9,10.0,10.755353239125,3.0,0.90663132328416,0.0,0.2169,"{'original': 6.9, 'alternative': 8.1}",0,0.06,0.01,-0.18,-0.38,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,62.96296296296296,41.17647058823529,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015592,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,34.0,27.0,8.0,5.0,0.0,13.0,16.0,14.0,18.0,4.0,3.0,,,,,90.0,55.0,8.0,11.0,132.56275996871,17.0,87.102124485132,1.0,,"{'original': 8, 'alternative': 7.8}",1,0.33,0.03,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,79.41176470588235,62.5,50.0,,,2.0,1.0,,,1.0,2.0,1.0,,,2.0,2.0,,,,1.0,0.51,,,1.0,27.425852533018,27.795667306255,,,1.0,1.0,1.0,1.0,
14015592,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,34.0,25.0,9.0,4.0,0.0,15.0,16.0,10.0,18.0,6.0,1.0,,,,,61.0,50.0,7.1,9.0,155.0148660565,19.0,30.922347398093,0.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.02,0.05,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,73.52941176470588,44.44444444444444,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,,
14015592,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,37.0,30.0,8.0,3.0,0.0,20.0,21.0,10.0,16.0,5.0,3.0,,,,,61.0,45.0,6.6,7.0,103.00567519078,13.0,32.740468738256,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.09,0.02,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,81.08108108108108,37.5,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,
14015592,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,25.0,20.0,,,0.0,6.0,6.0,14.0,19.0,2.0,2.0,,,,,90.0,53.0,6.4,13.0,169.99241416202,18.0,103.13353013617,3.0,,"{'original': 6.4, 'alternative': 6.8}",1,0.03,0.13,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,5,6,80.0,,,33.33333333333333,,3.0,,2.0,3.0,8.0,8.0,1.0,,,1.0,1.0,,3.0,3.0,,-0.04,3.0,1.0,2.0,20.3846646757,66.019935769738,,1.0,,,,,
14015592,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,21.0,19.0,4.0,3.0,0.0,12.0,13.0,7.0,8.0,1.0,3.0,,,,,85.0,35.0,7.0,3.0,94.829035838515,7.0,35.210477153582,1.0,,"{'original': 7, 'alternative': 7.1}",0,-0.04,0.09,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,90.47619047619048,75.0,,,,,,1.0,1.0,3.0,6.0,,1.0,,4.0,3.0,,1.0,1.0,,,,,1.0,25.010291902739,48.980407879069,,,,,1.0,,
14015592,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,59.0,49.0,9.0,4.0,1.0,23.0,25.0,26.0,34.0,1.0,5.0,,,,,90.0,87.0,7.9,19.0,99.126367586981,14.0,14.768734955049,0.0,,"{'original': 7.9, 'alternative': 7.9}",1,0.65,0.1,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,8,4,83.05084745762711,44.44444444444444,22.22222222222222,,,9.0,2.0,1.0,,5.0,8.0,1.0,,1.0,4.0,1.0,2.0,4.0,3.0,3.0,-0.21,,,1.0,,,,,,,2.0,,
14015592,away,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,M,19,False,16.0,11.0,1.0,,0.0,3.0,3.0,8.0,13.0,1.0,3.0,,,,,86.0,29.0,6.1,13.0,100.73729294624,9.0,70.488025250042,4.0,,"{'original': 6.1, 'alternative': 6.4}",0,0.0,0.13,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,1,5,68.75,,,,,2.0,,1.0,,6.0,1.0,,1.0,,,,3.0,1.0,2.0,2.0,,2.0,,1.0,18.134523226493,64.229577184473,,,,,,,
14015592,away,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,16.0,15.0,1.0,1.0,0.0,6.0,6.0,9.0,10.0,,5.0,,,,,90.0,36.0,6.7,6.0,112.37199099314,15.0,24.470251518854,1.0,,"{'original': 6.7, 'alternative': 7.1}",1,-0.07,0.11,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,8,3,93.75,100.0,,66.66666666666666,,3.0,,3.0,,6.0,8.0,2.0,,1.0,3.0,2.0,1.0,3.0,,,-0.15,3.0,2.0,2.0,9.2720373523791,9.2754352997582,,,,,,,
14015592,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,,2.0,,,,,61.0,22.0,6.1,11.0,109.62948529356,10.0,24.185906178583,2.0,,"{'original': 6.1, 'alternative': 6.4}",1,-0.07,0.27,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,60.0,,,50.0,,2.0,,1.0,,5.0,3.0,,1.0,,2.0,1.0,4.0,,2.0,,-0.12,2.0,1.0,1.0,11.391100941345,27.817513382928,,,1.0,,,,
