match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,shotValueNormalized,dispossessed,totalClearance,aerialLost,aerialWon,shotOffTarget,unsuccessfulTouch,fouls,wonContest,bigChanceMissed,bigChanceCreated,goals,outfielderBlock,blockedScoringAttempt,totalOffside,penaltyWon,goodHighClaim,penaltyFaced,clearanceOffLine,penaltyConceded,errorLeadToAGoal,lastManTackle
14015401,away,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,28.0,19.0,3.0,1.0,0.0,14.0,20.0,5.0,8.0,1.0,,,,,90.0,42.0,4.8,11.0,,"{'original': 4.8, 'alternative': 5}",0,-0.21,0.04,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,67.85714285714286,33.33333333333333,,,,,,1.0,3.0,,1.0,,,,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,
14015401,away,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,28.0,25.0,2.0,1.0,1.0,11.0,11.0,14.0,17.0,3.0,,,,,81.0,29.0,6.2,3.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.1,0.21,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,89.28571428571429,50.0,,,,,,2.0,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
14015401,away,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,False,34.0,27.0,1.0,,0.0,22.0,26.0,5.0,8.0,4.0,,,,,90.0,49.0,7.1,10.0,,"{'original': 7.1, 'alternative': 6.6}",0,-0.24,0.06,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,79.41176470588235,,,33.33333333333333,,,,4.0,8.0,1.0,3.0,,,6.0,4.0,,,,,5.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0
14015401,away,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,False,36.0,34.0,4.0,4.0,0.0,26.0,26.0,8.0,10.0,4.0,,,,,81.0,52.0,6.2,6.0,,"{'original': 6.2, 'alternative': 6.3}",1,0.04,0.14,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,5,4,94.44444444444444,100.0,,,,1.0,,6.0,6.0,,1.0,,2.0,4.0,3.0,1.0,,-0.11,,1.0,2.0,1.0,,2.0,3.0,,,,,,1.0,,,,,,,,
14015401,away,2933,OFK Beograd,1102965,Nikola Mituljikić,nikola-mituljikic,F,11,False,17.0,14.0,,,0.0,7.0,8.0,7.0,9.0,4.0,,,,,67.0,30.0,7.5,8.0,,"{'original': 7.5, 'alternative': 7.1}",1,-0.03,0.19,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,82.35294117647058,,100.0,,,1.0,1.0,6.0,5.0,,1.0,1.0,,2.0,1.0,3.0,2.0,0.56,2.0,,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,
14015401,away,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,False,12.0,11.0,,,0.0,8.0,8.0,3.0,4.0,,,,,,66.0,16.0,6.3,3.0,,"{'original': 6.3, 'alternative': 6.5}",2,0.02,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,91.66666666666666,,,,,,,2.0,,,2.0,1.0,,,,,,-0.15,,,,,1.0,,,,,,,,,1.0,,,,,,,
14015401,away,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,F,94,False,11.0,9.0,2.0,1.0,0.0,3.0,4.0,6.0,7.0,4.0,,,,,90.0,27.0,5.8,13.0,,"{'original': 5.8, 'alternative': 5.6}",0,-0.01,0.08,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,81.81818181818183,50.0,33.33333333333333,33.33333333333333,,3.0,1.0,6.0,1.0,,3.0,,,,,,,,3.0,,,,,4.0,1.0,1.0,,,,,,,,,,,,,
14015401,away,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,6.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,1.0,,,,,24.0,9.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.11,0.04,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.33333333333334,100.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,True,6.0,4.0,,,0.0,3.0,3.0,1.0,3.0,,,,,,24.0,8.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.08,0.03,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,66.66666666666666,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,
14015401,away,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,True,14.0,12.0,2.0,,0.0,10.0,12.0,2.0,2.0,,,,,,23.0,19.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.2}",0,0.01,0.01,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
14015401,away,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,True,6.0,5.0,,,0.0,4.0,4.0,1.0,2.0,,,,,,9.0,7.0,6.3,2.0,,"{'original': 6.3, 'alternative': 6.3}",0,-0.03,0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,83.33333333333334,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
14015401,away,6079,OFK Beograd,1465579,Mihajlo Petrović,mihajlo-petrovic,M,13,True,1.0,,,,0.0,,,,1.0,,,,,,9.0,1.0,6.3,1.0,,"{'original': 6.3, 'alternative': 6.3}",0,-0.02,,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,291738,OFK Beograd,1145915,Daniil Dushevskiy,daniil-dusheuski,M,6,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,263360,OFK Beograd,1981973,Dragan Tegeltija,dragan-tegeltija,D,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,241802,OFK Beograd,1927332,Strahinja Luković,strahinja-lukovic,D,23,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,away,5153,OFK Beograd,807593,Darko Gojković,darko-gojkovic,D,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
