match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed
15281003,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,19.0,13.0,2.0,1.0,0.0,9.0,10.0,4.0,9.0,2.0,0.0,3.0,2.0,14.0,5.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,90.0,39.0,6.7,9.0,0.18,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,5,14,3,11,68.42105263157895,50.0,0.0,50.0,,1.0,,1.0
15281003,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,False,10.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,8.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,75.0,15.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,80.0,100.0,0.0,,,,,
15281003,away,327162,Mladost DG,1391910,Vuko Vicković,vuko-vickovic,D,18,True,18.0,7.0,4.0,1.0,0.0,,3.0,6.0,14.0,4.0,1.0,0.0,0.0,11.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,74.0,28.0,6.4,15.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,4,11,38.88888888888889,25.0,25.0,100.0,,,,
15281003,away,327162,Mladost DG,1648525,Balša  Radanović,balsa-radanovic,G,31,True,18.0,16.0,5.0,3.0,0.0,14.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,45.0,23.0,6.3,2.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,60.0,,,,,,
15281003,away,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,True,7.0,5.0,0.0,0.0,0.0,,,5.0,7.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,29.0,14.0,6.6,3.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,71.42857142857143,,,,,,,
15281003,away,241802,Mladost DG,2487213,Veljko Mijović,veljko-mijovic,M,35,True,5.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,15.0,5.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,50.0,,,,,,
15281003,away,327162,Mladost DG,2523247,Jeremias Sebastian Torrente,jeremias-sebastian-torrente,M,19,True,14.0,14.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,15.0,17.0,6.8,1.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,100.0,,,100.0,,,,
15281003,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,away,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,away,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
15281003,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
