match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,dispossessed,keyPass,blockedScoringAttempt,shotOffTarget,bigChanceCreated
14147343,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,19.0,18.0,1.0,1.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,90.0,20.0,7.2,0.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,94.73684210526315,100.0,,,,,,,,,,
14147343,home,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,60.0,45.0,9.0,6.0,0.0,21.0,24.0,5.0,1.0,1.0,3.0,10.0,10.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,,17.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,,,,,,,90.0,74.0,7.2,16.0,0.0,0.1,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,4,16,7,9,75.0,66.66666666666666,20.0,66.66666666666666,,24.0,36.0,1.0,1.0,,,
14147343,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,78.0,75.0,2.0,2.0,0.0,48.0,49.0,0.0,0.0,2.0,2.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,97.0,7.3,7.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,4,6,96.15384615384616,100.0,,,,26.0,28.0,,,,,
14147343,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,False,74.0,65.0,4.0,2.0,0.0,45.0,49.0,0.0,0.0,4.0,4.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,92.0,7.0,13.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,5,3,87.83783783783784,50.0,,,,20.0,23.0,,,,,
14147343,home,37153,FK Budućnost Podgorica,1005600,Petar Vuković,petar-vukovic,D,36,False,51.0,41.0,8.0,4.0,0.0,20.0,24.0,3.0,2.0,1.0,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,14.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,71.0,6.7,13.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,5,12,80.3921568627451,50.0,66.66666666666666,,,20.0,26.0,2.0,,,,
14147343,home,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,M,4,False,43.0,35.0,5.0,2.0,0.0,12.0,15.0,1.0,0.0,0.0,1.0,7.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,46.0,54.0,6.8,6.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,5,7,81.3953488372093,40.0,0.0,100.0,,23.0,27.0,,,,,
14147343,home,5143,FK Budućnost Podgorica,1423503,Andrej Camaj,camaj-andrej,M,24,False,20.0,17.0,1.0,1.0,0.0,7.0,9.0,1.0,0.0,1.0,0.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,63.0,38.0,6.4,4.0,0.02,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,4,9,85.0,100.0,0.0,100.0,,10.0,11.0,2.0,,1.0,,
14147343,home,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,False,43.0,31.0,12.0,5.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,46.0,55.0,7.3,12.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,7,2,72.09302325581395,41.66666666666667,0.0,,,19.0,30.0,,,,,
14147343,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,51.0,43.0,5.0,4.0,0.0,11.0,12.0,1.0,0.0,1.0,1.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,79.0,6.8,13.0,0.09,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,5,12,84.31372549019608,80.0,0.0,,,32.0,39.0,2.0,,,1.0,
14147343,home,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,32.0,24.0,0.0,0.0,0.0,9.0,11.0,2.0,0.0,2.0,0.0,9.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,82.0,50.0,6.9,14.0,0.1,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,5,7,75.0,,0.0,100.0,,14.0,19.0,1.0,,,1.0,
